game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles
FOOTBALL_UFL_2024_4_6_SA@MEM,2024-04-06,2024,2,UFL,SA,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
FOOTBALL_NAL_2025_3_10_T425357G979251@T425362,2025-03-10,2025,1,NAL,Colorado Spartans,Wheeling Miners,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0
FOOTBALL_NAL_2025_3_15_T425357G979252@T425360,2025-03-15,2025,2,NAL,Colorado Spartans,Omaha Beef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,,,17.0,17.0,0.0,17.0,,,,,,19.0,27.0,0.0,1.0,38.0,2.0,,5.0,6.0,2.0,0.0,0.0,9.0,0.0,0.0,1.0
FOOTBALL_NAL_2025_3_29_T425357G979259@T425361,2025-03-30,2025,4,NAL,Colorado Spartans,Sioux City Bandits,,,,,,,,,,,,,,,,,,,,,,,,13.0,20.0,0.0,2.0,65.0,5.0,,,,,,,,,,
FOOTBALL_NAL_2025_4_19_T425358G979269@T425357,2025-04-20,2025,7,NAL,Idaho Horsemen,Colorado Spartans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,19.0,22.0,0.0,2.0,56.0,3.0,,4.0,7.0,2.0,1.0,0.0,8.0,0.0,0.0,2.0
FOOTBALL_NAL_2025_4_26_T434514G979274@T425357,2025-04-27,2025,8,NAL,Columbus Lions,Colorado Spartans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,16.0,3.0,0.0,0.0,18.0,,,
FOOTBALL_NAL_2025_5_3_T425362G979277@T425357,2025-05-04,2025,9,NAL,Wheeling Miners,Colorado Spartans,,,,,,,,,,,,,,,,,,,,,,,,11.0,17.0,0.0,0.0,21.0,2.0,,2.0,2.0,1.0,0.0,0.0,2.0,,,
FOOTBALL_NAL_2025_5_15_T425357G979285@T425358,2025-05-16,2025,11,NAL,Colorado Spartans,Idaho Horsemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,3.0,0.0,1.0,5.0,,,
FOOTBALL_IFL_2026_5_24_TNEWMEXICOCHUPACABRASG20260524HN6I@TORLANDOPIRATES,2026-05-24,2026,,IFL,New Mexico Chupacabras,Orlando Pirates,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,0.0,6.0,2.0,,3.2,11.0,13.0,,0.0,42.0,,,
FOOTBALL_IFL_2026_3_22_TORLANDOPIRATESG20260322MNDZ@TNEWMEXICOCHUPACABRAS,2026-03-22,2026,2,IFL,Orlando Pirates,New Mexico Chupacabras,,,,,,,,,1.0,,,,,,24.0,24.0,0.0,24.0,,,,,,-2.0,0.0,,0.0,-2.0,1.0,,10.0,45.0,5.0,,1.0,50.0,,,
