game_id,date,season,week,league,away,home,gp,kr_no,kr_yds,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,4.0,,,10.0,53.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,12.0,9.0,218.0,12.0,28.0
