game_id,date,season,week,league,away,home,receiving_yards,receptions
SYNTHETIC_USFL_2023_W8_GENERALS,,2023,8,USFL,,,19.0,2.0
SYNTHETIC_USFL_2023_W9_GENERALS,,2023,9,USFL,,,109.0,3.0
SYNTHETIC_USFL_2023_W10_GENERALS,,2023,10,USFL,,,10.0,2.0
