game_id,date,season,week,league,away,home,assists,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202507240CON,2025-07-24,2025,1,WNBA,LAS,CON,,,,1.0,,,2.0,,2.0,5.866666666666667,,4.0,,,,1.0
WNBA_202507270CON,2025-07-27,2025,1,WNBA,GSV,CON,,,,,,,1.0,,,4.683333333333334,,,,,,
WNBA_202507280CON,2025-07-28,2025,1,WNBA,SEA,CON,,,,1.0,,,1.0,,1.0,5.566666666666666,,4.0,,,1.0,1.0
WNBA_202508030CON,2025-08-03,2025,1,WNBA,NYL,CON,,,,,,,,,2.0,5.833333333333333,,-5.0,,,,
WNBA_202508050PHO,2025-08-05,2025,1,WNBA,CON,PHO,1.0,1.0,,2.0,,0.333,3.0,1.0,2.0,7.3,,1.0,2.0,1.0,2.0,1.0
WNBA_202508070LAS,2025-08-07,2025,1,WNBA,CON,LAS,1.0,,1.0,2.0,2.0,0.667,3.0,2.0,1.0,9.4,,2.0,6.0,,1.0,
WNBA_202508100LVA,2025-08-10,2025,1,WNBA,CON,LVA,,,,,,,,,,2.3833333333333333,,-7.0,,,,
WNBA_202508110GSV,2025-08-11,2025,1,WNBA,CON,GSV,2.0,,0.5,2.0,1.0,0.333,3.0,1.0,2.0,12.633333333333333,,6.0,3.0,,,1.0
WNBA_202508130CON,2025-08-13,2025,1,WNBA,CHI,CON,,,,2.0,,,2.0,,,2.55,,-1.0,,,,
WNBA_202508230CHI,2025-08-23,2025,1,WNBA,CON,CHI,1.0,,,1.0,,0.5,2.0,1.0,,4.3,,1.0,2.0,,1.0,
WNBA_202508250NYL,2025-08-25,2025,1,WNBA,CON,NYL,,,,,,,,,,2.4833333333333334,,9.0,,,,
WNBA_202508270DAL,2025-08-27,2025,1,WNBA,CON,DAL,,,0.5,2.0,1.0,0.667,3.0,2.0,1.0,4.533333333333333,,,5.0,,,
WNBA_202508300CON,2025-08-30,2025,1,WNBA,MIN,CON,,,1.0,2.0,2.0,0.75,4.0,3.0,2.0,14.583333333333334,1.0,-10.0,8.0,1.0,,1.0
WNBA_202509010CON,2025-09-01,2025,1,WNBA,ATL,CON,,,,,,,,,1.0,8.35,,-10.0,,,,
WNBA_202509030CHI,2025-09-03,2025,1,WNBA,CON,CHI,1.0,,,1.0,,,3.0,,2.0,16.783333333333335,,-8.0,,,,1.0
WNBA_202509060CON,2025-09-06,2025,1,WNBA,PHO,CON,,,1.0,1.0,1.0,0.333,3.0,1.0,,6.7,1.0,1.0,3.0,1.0,,
WNBA_202509080ATL,2025-09-08,2025,1,WNBA,CON,ATL,3.0,1.0,0.333,3.0,1.0,0.2,5.0,1.0,2.0,20.4,1.0,-6.0,3.0,2.0,,1.0
WNBA_202509100CON,2025-09-10,2025,1,WNBA,ATL,CON,,1.0,,2.0,,0.5,4.0,2.0,1.0,13.066666666666666,1.0,-6.0,4.0,2.0,2.0,1.0
