game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,12.0,11.0,,66.0,78.0,2.0,290.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,12.0,19.0,2.0,139.0,102.0,8.0,671.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,19.0,1.0,215.0,102.0,7.0,525.0
