game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,9.0,218.0,131.0,5.0,20.0,1773.0,41.0,110.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,2.0,40.0,18.0,3.0,,151.0,14.0,54.0
