game_id,date,season,week,league,away,home,gp,recv_rec,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,9.0,6.0,28.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,3.0,3.0,59.0
