game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_2022_W2_AVIATORS,,2022,2,AUDL,,,0.0,1.0,,,0.0,0.0,,,,,,1.0,5.0,11.0
SYNTHETIC_AUDL_2022_W3_AVIATORS,,2022,3,AUDL,,,1.0,0.0,,,0.0,0.0,,,,,,1.0,82.0,33.0
2022-06-18-SD-LA,2022-06-18,2022,4,,SD,LA,1.0,0.0,,,0.0,0.0,,,,,,0.0,30.0,23.0
2022-07-02-LA-COL,2022-07-02,2022,6,,LA,COL,1.0,0.0,,,0.0,0.0,,,,,,0.0,73.0,56.0
2022-07-16-COL-LA,2022-07-16,2022,8,AUDL,summit,aviators,0.0,0.0,,,0.0,0.0,,,,,,0.0,8.0,0.0
2022-07-22-LA-SLC,2022-07-22,2022,9,AUDL,aviators,shred,0.0,0.0,,,0.0,1.0,,,,,,2.0,46.0,4.0
2022-07-23-LA-OAK,2022-07-23,2022,9,AUDL,aviators,spiders,1.0,0.0,,,0.0,1.0,,,,,,2.0,6.0,18.0
2022-07-29-OAK-LA,2022-07-29,2022,10,AUDL,spiders,aviators,0.0,0.0,,,0.0,1.0,,,,,,0.0,3.0,24.0
2023-06-09-LA-POR,2023-06-09,2023,7,AUDL,LA AVIATORS,PORTLAND NITRO,1.0,,3.0,2.0,,,,,3.0,,2.0,,27.0,18.0
2023-06-10-LA-SEA,2023-06-10,2023,7,AUDL,LA AVIATORS,SEATTLE CASCADES,,,,,,1.0,,,,,,,,
2023-06-18-SEA-LA,2023-06-18,2023,8,AUDL,SEATTLE CASCADES,LA AVIATORS,,,3.0,2.0,,,,,13.0,,3.0,1.0,23.0,14.0
2023-06-24-SD-LA,2023-06-24,2023,9,AUDL,SAN DIEGO GROWLERS,LA AVIATORS,2.0,,10.0,11.0,,,2.0,,10.0,,11.0,,64.0,55.0
2023-06-30-SLC-LA,2023-06-30,2023,10,AUDL,SALT LAKE SHRED,LA AVIATORS,,,13.0,14.0,1.0,,,,7.0,,14.0,,91.0,6.0
2023-07-15-LA-OAK,2023-07-15,2023,12,AUDL,LA AVIATORS,OAKLAND SPIDERS,2.0,,15.0,11.0,,,,1.0,15.0,1.0,12.0,,132.0,96.0
2023-07-21-OAK-LA,2023-07-21,2023,13,AUDL,OAKLAND SPIDERS,LA AVIATORS,,1.0,4.0,5.0,1.0,,,,17.0,,5.0,,26.0,14.0
2024-04-27-LA-OAK,2024-04-27,2024,1,UFA,aviators,spiders,1.0,0.0,,,0.0,0.0,,,,,,1.0,21.0,0.0
2024-05-04-SLC-LA,2024-05-04,2024,2,UFA,shred,aviators,0.0,1.0,,,0.0,0.0,,,,,,0.0,16.0,53.0
2024-05-18-POR-LA,2024-05-18,2024,4,UFA,nitro,aviators,0.0,2.0,,,0.0,0.0,,,,,,1.0,25.0,45.0
2024-06-02-SEA-LA,2024-06-02,2024,6,UFA,cascades,aviators,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
2024-06-07-LA-SEA,2024-06-07,2024,7,UFA,aviators,cascades,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
2024-06-08-LA-POR,2024-06-08,2024,7,UFA,aviators,nitro,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
2024-06-15-LA-SD,2024-06-15,2024,8,UFA,aviators,growlers,1.0,1.0,,,0.0,0.0,,,,,,1.0,18.0,50.0
2024-06-21-LA-SLC,2024-06-21,2024,9,UFA,aviators,shred,2.0,0.0,,,0.0,0.0,,,,,,0.0,61.0,120.0
2024-06-30-OAK-LA,2024-06-30,2024,10,UFA,spiders,aviators,0.0,1.0,,,0.0,0.0,,,,,,1.0,97.0,46.0
2024-07-07-SD-LA,2024-07-07,2024,11,UFA,growlers,aviators,0.0,0.0,,,0.0,1.0,,,,,,3.0,60.0,-15.0
2024-07-12-LA-COL,2024-07-12,2024,12,UFA,aviators,summit,1.0,1.0,,,0.0,0.0,,,,,,1.0,74.0,39.0
2024-07-21-OAK-LA,2024-07-21,2024,13,UFA,spiders,aviators,0.0,1.0,,,0.0,0.0,,,,,,2.0,11.0,-12.0
2025-05-03-LA-SD,2025-05-03,2025,2,UFA,aviators,growlers,0.0,0.0,,,1.0,0.0,,,,,,1.0,86.0,38.0
2025-05-04-SD-LA,2025-05-04,2025,2,UFA,growlers,aviators,1.0,0.0,,,0.0,1.0,,,,,,1.0,83.0,3.0
2025-05-10-ATL-LA,2025-05-10,2025,3,UFA,hustle,aviators,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
2025-05-16-LA-SD,2025-05-16,2025,4,UFA,aviators,growlers,0.0,0.0,,,0.0,1.0,,,,,,1.0,2.0,38.0
2025-05-30-HTX-LA,2025-05-30,2025,6,UFA,havoc,aviators,0.0,0.0,,,0.0,0.0,,,,,,0.0,53.0,50.0
2025-06-06-ATX-LA,2025-06-06,2025,7,UFA,sol,aviators,3.0,0.0,,,0.0,0.0,,,,,,4.0,62.0,80.0
2025-06-20-LA-ORE,2025-06-20,2025,9,UFA,aviators,steel,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
2025-06-21-LA-SEA,2025-06-21,2025,9,UFA,aviators,cascades,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0
2025-07-05-SD-LA,2025-07-05,2025,11,UFA,growlers,aviators,2.0,1.0,,,0.0,0.0,,,,,,3.0,4.0,125.0
2025-07-11-LA-HTX,2025-07-11,2025,12,UFA,aviators,havoc,1.0,0.0,,,0.0,1.0,,,,,,2.0,74.0,82.0
2025-07-12-LA-ATX,2025-07-12,2025,12,UFA,aviators,sol,0.0,0.0,,,0.0,0.0,,,,,,0.0,-7.0,72.0
2025-07-20-LV-LA,2025-07-20,2025,13,UFA,bighorns,aviators,0.0,1.0,,,0.0,0.0,,,,,,2.0,19.0,68.0
