game_id,date,season,week,league,away,home,assists,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,blocks,d_points,fielding_catches,goals,match_played,o_points,plus_minus,touches,turnovers
PUL_2023_SEASON_TOTAL,,2023,1,PUL,,,8.0,,,,,,,5.0,,,3.0,,,8.0,11.0,8.0
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,3.0,,,,,,,1.0,35.0,,,,5.0,3.0,34.0,1.0
cricket-hnd-2025-08-08-1471039,2025-08-08,2025,1,HND,Birmingham Phoenix,Trent Rockets,,6.0,1.0,1.0,7.0,9.0,0.0,,,2.0,,1.0,,,,
cricket-hnd-2025-08-10-1471043,2025-08-10,2025,1,HND,Trent Rockets,Northern Superchargers,,10.0,1.0,0.0,7.0,12.0,0.0,,,,,1.0,,,,
cricket-hnd-2025-08-14-1471048,2025-08-14,2025,1,HND,Trent Rockets,London Spirit,,1.0,0.0,0.0,6.0,0.0,0.0,,,2.0,,1.0,,,,
cricket-hnd-2025-08-16-1471050,2025-08-16,2025,1,HND,Trent Rockets,Southern Brave,,3.0,0.0,0.0,7.0,0.0,0.0,,,,,1.0,,,,
