game_id,date,season,week,league,away,home,assist_tackles,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,pr_fc,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,targets
FOOTBALL_AAF_2019_2_23_MEM@ORL,2019-02-23,2019,3,AAF,MEM,ORL,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,16.0,1.0,8.0,0.0,59.0,1.0,1.0
FOOTBALL_AAF_2019_3_2_SD@MEM,2019-03-02,2019,4,AAF,SD,MEM,,0.0,0.0,1.0,1.0,0.0,,,,,,0.0,0.0,15.0,1.0,6.0,0.0,12.0,,2.0
FOOTBALL_AAF_2019_3_10_MEM@ATL,2019-03-10,2019,5,AAF,MEM,ATL,,,,,,,,,,,,,0.0,56.0,1.0,2.0,0.0,3.0,,1.0
