game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_td,pat_made,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_UFL_2024_3_31_MEM@HOU,2024-03-31,2024,1,UFL,MEM,HOU,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_6_SA@MEM,2024-04-06,2024,2,UFL,SA,MEM,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_13_MEM@BHAM,2024-04-13,2024,3,UFL,MEM,BHAM,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_4_20_MEM@STL,2024-04-20,2024,4,UFL,MEM,STL,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_4_BHAM@MEM,2024-05-04,2024,6,UFL,BHAM,MEM,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_11_MEM@ARL,2024-05-11,2024,7,UFL,MEM,ARL,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2024_5_18_MEM@MICH,2024-05-18,2024,8,UFL,MEM,MICH,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_3_10_T425357G979251@T425362,2025-03-10,2025,1,NAL,Colorado Spartans,Wheeling Miners,,,,,,,,4.0,7.0,0.0,0.0,29.0,,,5.0,0.0,0.0,0.0,9.0,2.0,12.0,0.0,2.0,0.0,0.0,23.0,,,,
FOOTBALL_NAL_2025_3_15_T425357G979252@T425360,2025-03-15,2025,2,NAL,Colorado Spartans,Omaha Beef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,30.0,0.0,95.0,,,11.0,11.0,0.0,0.0,22.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0
FOOTBALL_NAL_2025_3_29_T425357G979259@T425361,2025-03-30,2025,4,NAL,Colorado Spartans,Sioux City Bandits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,23.0,0.0,33.0,,,19.0,25.0,0.0,1.0,77.0,4.0,3.0,4.0,2.0,0.0,0.0,5.0,0.0,0.0,,2.0
FOOTBALL_UFL_2025_4_26_MEM@BHM,2025-04-26,2025,5,UFL,MEM,BHM,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
FOOTBALL_UFL_2025_5_4_SA@BHM,2025-05-04,2025,6,UFL,SA,BHM,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_19_T425358G979269@T425357,2025-04-20,2025,7,NAL,Idaho Horsemen,Colorado Spartans,,,,,,,,1.0,9.0,9.0,0.0,9.0,,,,,,,,,-3.0,0.0,2.0,0.0,0.0,-6.0,,,,
FOOTBALL_UFL_2025_5_11_HOU@BHM,2025-05-11,2025,7,UFL,HOU,BHM,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
FOOTBALL_NAL_2025_4_26_T434514G979274@T425357,2025-04-27,2025,8,NAL,Columbus Lions,Colorado Spartans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,18.0,0.0,18.0,,,2.0,2.0,0.0,0.0,2.0,1.0,4.0,11.0,3.0,0.0,0.0,12.0,0.0,0.0,,1.0
FOOTBALL_NAL_2025_5_15_T425357G979285@T425358,2025-05-16,2025,11,NAL,Colorado Spartans,Idaho Horsemen,,,,,,,,2.0,13.0,18.0,0.0,26.0,,,10.0,22.0,0.0,2.0,60.0,6.0,1.0,3.0,2.0,0.0,0.0,2.0,,,,
FOOTBALL_IFL_2026_3_21_TIOWABARNSTORMERSG20260321EITG@TQUADCITYSTEAMWHEELERS,2026-03-21,2026,2,IFL,Iowa Barnstormers,Quad City Steamwheelers,1.0,,,,,,,,,,,,,,8.0,8.0,,1.0,16.0,2.0,1.8,9.0,6.0,,0.0,11.0,,,0.0,1.0
FOOTBALL_IFL_2026_4_4_TGREENBAYBLIZZARDG2026040443LQ@TIOWABARNSTORMERS,2026-04-04,2026,4,IFL,Green Bay Blizzard,Iowa Barnstormers,,,,,,,,,,,,,,,,,,,,,4.1,14.0,16.0,,0.0,65.0,,,,
FOOTBALL_IFL_2026_4_18_TIOWABARNSTORMERSG20260418BIFV@TGREENBAYBLIZZARD,2026-04-18,2026,6,IFL,Iowa Barnstormers,Green Bay Blizzard,,,,,,,,,,,,,,,5.0,12.0,,1.0,10.0,2.0,1.3,6.0,10.0,,0.0,13.0,,,,
