game_id,date,season,week,league,away,home,def_sack,def_solo,def_tot,def_ydsl,tackles
FOOTBALL_CFL_2019_10_26_HAM@MTL,2019-10-26,2019,1,CFL,HAM,MTL,,2.0,2.0,,
FOOTBALL_CFL_2019_10_4_EDM@HAM,2019-10-04,2019,1,CFL,EDM,HAM,2.0,2.0,2.0,11.0,
FOOTBALL_CFL_2019_11_24_HAM@WPG,2019-11-24,2019,1,CFL,HAM,WPG,,3.0,3.0,,
FOOTBALL_CFL_2019_11_2_TOR@HAM,2019-11-02,2019,1,CFL,TOR,HAM,1.0,3.0,3.0,5.0,
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,1.0,5.0,5.0,5.0,
FOOTBALL_CFL_2021_8_5_HAM@WPG,2021-08-05,2021,1,CFL,HAM,WPG,,1.0,1.0,,
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,,2.0,2.0,,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,,1.0,1.0,,
FOOTBALL_CFL_2022_10_21_OTT@HAM,2022-10-21,2022,1,CFL,OTT,HAM,1.0,1.0,1.0,14.0,
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,1.0,2.0,2.0,12.0,
FOOTBALL_CFL_2022_6_17_WPG@OTT,2022-06-17,2022,1,CFL,WPG,OTT,1.0,4.0,4.0,6.0,
FOOTBALL_CFL_2022_6_30_BC@OTT,2022-06-30,2022,1,CFL,BC,OTT,,2.0,2.0,,
FOOTBALL_CFL_2022_7_16_OTT@HAM,2022-07-16,2022,1,CFL,OTT,HAM,2.0,4.0,4.0,2.0,
FOOTBALL_CFL_2022_7_21_MTL@OTT,2022-07-21,2022,1,CFL,MTL,OTT,1.0,3.0,3.0,3.0,
FOOTBALL_CFL_2022_7_31_OTT@TOR,2022-07-31,2022,1,CFL,OTT,TOR,1.0,1.0,1.0,7.0,
FOOTBALL_CFL_2022_7_8_OTT@SSK,2022-07-08,2022,1,CFL,OTT,SSK,2.0,3.0,3.0,12.0,
FOOTBALL_CFL_2022_8_19_EDM@OTT,2022-08-19,2022,1,CFL,EDM,OTT,1.0,3.0,3.0,10.0,
FOOTBALL_CFL_2022_8_5_CGY@OTT,2022-08-05,2022,1,CFL,CGY,OTT,,3.0,3.0,,
FOOTBALL_CFL_2022_9_10_TOR@OTT,2022-09-10,2022,1,CFL,TOR,OTT,2.0,3.0,3.0,11.0,
FOOTBALL_CFL_2022_9_24_TOR@OTT,2022-09-24,2022,1,CFL,TOR,OTT,,1.0,1.0,,
FOOTBALL_CFL_2022_9_2_OTT@MTL,2022-09-02,2022,1,CFL,OTT,MTL,2.0,5.0,5.0,6.0,
FOOTBALL_CFL_2022_9_30_OTT@BC,2022-09-30,2022,1,CFL,OTT,BC,2.0,3.0,3.0,5.0,
9889285,2023-06-10,2023,1,CFL,OTT,MTL,,,,,2.0
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,,,1.0
