game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,score_conv,score_p,score_pts,score_tot,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,9.0,5.0,8.0,,11.0,32.0,1.0,,2.0,,1.0,1.0,1.0
FOOTBALL_CFL_2016_7_16_BC@SSK,2016-07-16,2016,1,CFL,BC,SSK,,,52.0,3.0,4.0,1.0,26.0,88.0,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,,27.0,3.0,5.0,,6.0,44.0,,,,,,,
FOOTBALL_CFL_2016_7_7_TOR@BC,2016-07-07,2016,1,CFL,TOR,BC,,,15.0,4.0,8.0,,3.0,41.0,1.0,,2.0,,1.0,1.0,1.0
FOOTBALL_CFL_2017_10_21_EDM@BC,2017-10-21,2017,1,CFL,EDM,BC,,,13.0,3.0,3.0,,9.0,38.0,,,,,,,
FOOTBALL_CFL_2017_10_28_BC@WPG,2017-10-28,2017,1,CFL,BC,WPG,,,23.0,6.0,7.0,1.0,14.0,53.0,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,,,1.0,,,,,,,,,,
FOOTBALL_CFL_2017_6_24_EDM@BC,2017-06-24,2017,1,CFL,EDM,BC,,,62.0,5.0,5.0,,21.0,98.0,,,,,,,
FOOTBALL_CFL_2017_6_30_BC@TOR,2017-06-30,2017,1,CFL,BC,TOR,,,10.0,2.0,5.0,,5.0,13.0,1.0,,2.0,,,,
FOOTBALL_CFL_2017_7_15_BC@HAM,2017-07-15,2017,1,CFL,BC,HAM,1.0,1.0,69.0,10.0,11.0,1.0,75.0,220.0,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,,,14.0,3.0,4.0,,11.0,36.0,,,,,,,
FOOTBALL_CFL_2017_7_28_BC@EDM,2017-07-28,2017,1,CFL,BC,EDM,,,24.0,2.0,3.0,,5.0,33.0,,,,,,,
FOOTBALL_CFL_2017_7_6_BC@MTL,2017-07-06,2017,1,CFL,BC,MTL,,,9.0,1.0,3.0,,4.0,9.0,,,,,,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,,,21.0,2.0,4.0,,3.0,26.0,,,,,,,
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,,,9.0,3.0,6.0,,8.0,21.0,,,,,,,
FOOTBALL_CFL_2017_9_16_BC@CGY,2017-09-16,2017,1,CFL,BC,CGY,,,,,1.0,,,,,,,,,,
