game_id,date,season,week,league,away,home,1pt_conversion,conversions,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,32.0,4.0,1.0,42.0
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,,,20.0,2.0,1.0,27.0
SYNTHETIC_XFL_2023_W2_ROUGHNECKS,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,0.0,0.0,,,,
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,,,12.0,4.0,,74.0
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,21.0,5.0,1.0,12.0
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,1.0,1.0,2.0,25.0
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,,,46.0
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,49.0,3.0,,10.0
SYNTHETIC_XFL_2023_W8_ROUGHNECKS,2023-04-09,2023,8,XFL,BRAHMAS,ROUGHNECKS,0.0,0.0,,,,
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,4.0,2.0,1.0,74.0
SYNTHETIC_XFL_2023_W9_ROUGHNECKS,2023-04-15,2023,9,XFL,ROUGHNECKS,VIPERS,0.0,0.0,,,,
