game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,games_played,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,sacks,safeties,tackles,total_yards,yards_per_game
FOOTBALL_NAL_2021_jersey-flight_SEASON_TOTAL,2021-12-31,,0,,,JERSEY FLIGHT,,,,,,,,1.0,0.0,76.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,11.0,9.4,32.0,,11.0,432.0,61.7,46.0,6.6,-1.0,1.0,3.0,1.0,10.9,-0.4,,,,433.0,61.9
FOOTBALL_NAL_2025_5_3_T450150G979276@T463723,2025-05-03,2025,9,NAL,Shreveport Rouxgaroux,Beaumont Renegades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,6.0,10.0,0.0,0.0,35.0,,6.0,,,,,,,,0.0,0.0,1.0,,
FOOTBALL_NAL_2025_5_10_T450150G979282@T434514,2025-05-10,2025,10,NAL,Shreveport Rouxgaroux,Columbus Lions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,12.0,34.0,0.0,0.0,69.0,,6.0,,,,,,,,0.0,0.0,2.0,,
SYNTHETIC_50YARD_2026_W2_MINNESOTAMONSTERS,2026-05-09,2026,2,50YARD,Minnesota Monsters,Michigan Arsenal,,,,,,,,,,,,,,,,,,,,,,1.0,41.0,,4.0,,,,,,,,,,,,
