game_id,date,season,week,league,away,home,def_fr,def_tackles,gp,pat_att,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,4.0,12.0,1.0,10.0,127.0,129.0,,556.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,7.0,,4.0,22.0,42.0,2.0,137.0
