game_id,date,season,week,league,away,home,1pt_conversion,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,tackles
FOOTBALL_XFL_2023_2_19_STL@SA,2023-02-19,2023,1,XFL,STL,SA,,,,6.0,3.0,,0.0,
FOOTBALL_XFL_2023_2_23_STL@SEA,2023-02-23,2023,2,XFL,SEA DRAGONS,BATTLEHAWKS,,,,21.0,3.0,,34.0,
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,,1.0,,-2.0,1.0,,18.0,1.0
FOOTBALL_XFL_2023_3_12_ARL@STL,2023-03-12,2023,4,XFL,BATTLEHAWKS,RENEGADES,,,,,,,13.0,
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,,,,6.0,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,,,,,,,2.0,
FOOTBALL_XFL_2023_4_2_STL@HOU,2023-04-02,2023,7,XFL,STL,HOU,,,,,,,8.0,
FOOTBALL_XFL_2023_4_8_VGS@STL,2023-04-08,2023,8,XFL,VGS,STL,,,,12.0,1.0,,,
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,41.0,3.0,,36.0,
SYNTHETIC_UFL_2024_W2_BATTLEHAWKS,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,1.0,,0.0,5.0,1.0,1.0,104.0,
SYNTHETIC_UFL_2024_W3_BATTLEHAWKS,2024-04-14,2024,3,UFL,BRAHMAS,BATTLEHAWKS,,,0.0,5.0,3.0,0.0,30.0,
SYNTHETIC_UFL_2024_W4_BATTLEHAWKS,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,,,0.0,8.0,1.0,,,
