game_id,date,season,week,league,away,home,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,targets
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,,,,,25.0,3.0,9.0,,32.0,1.0
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,,,,,,,3.0,,16.0,
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,,,,,11.0,2.0,10.0,,50.0,1.0
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,,,,,,,18.0,,82.0,
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,,,,,,1.0,15.0,,58.0,
SYNTHETIC_USFL_2022_W1_NJ,,2022,1,USFL,,,,,,,,,,0.0,66.0,
SYNTHETIC_USFL_2022_W2_NJ,,2022,2,USFL,,,1.0,,,,,,,1.0,40.0,
SYNTHETIC_USFL_2022_W3_NJ,,2022,3,USFL,,,,,,0.0,31.0,3.0,,2.0,51.0,
SYNTHETIC_USFL_2022_W4_NJ,,2022,4,USFL,,,,,,0.0,21.0,3.0,,1.0,57.0,
SYNTHETIC_USFL_2022_W5_NJ,,2022,5,USFL,,,,,,0.0,12.0,1.0,,1.0,95.0,
SYNTHETIC_USFL_2022_W6_NJ,,2022,6,USFL,,,,,,0.0,4.0,1.0,,0.0,57.0,
SYNTHETIC_USFL_2022_W7_NJ,,2022,7,USFL,,,,,,0.0,19.0,3.0,,1.0,,
SYNTHETIC_USFL_2022_W8_NJ,,2022,8,USFL,,,,,,0.0,19.0,1.0,,3.0,87.0,
SYNTHETIC_USFL_2022_W9_NJ,,2022,9,USFL,,,0.0,,,0.0,5.0,2.0,,0.0,19.0,
SYNTHETIC_USFL_2022_W10_NJ,,2022,10,USFL,,,,,,1.0,2.0,1.0,,0.0,34.0,
SYNTHETIC_USFL_2022_W11_NJ,,2022,11,USFL,,,,,,,,,,1.0,64.0,
SYNTHETIC_USFL_2023_W1_GENERALS,2023-04-15,2023,1,USFL,STALLIONS,GENERALS,,,,0.0,0.0,0.0,,0.0,84.0,
SYNTHETIC_USFL_2023_W5_GENERALS,2023-05-14,2023,5,USFL,STARS,GENERALS,3.0,,,0.0,25.0,2.0,,0.0,49.0,
4,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,1.0,,,0.0,33.0,5.0,,0.0,3.0,
5,2024-04-06,2024,2,UFL,SHOWBOATS,BRAHMAS,,,,0.0,11.0,2.0,,0.0,54.0,
10,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,,,0.0,25.0,3.0,,0.0,-1.0,
13,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,,,,0.0,16.0,3.0,,1.0,58.0,
20,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,,,,0.0,11.0,3.0,,0.0,17.0,
21,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,,,,0.0,9.0,3.0,,0.0,42.0,
25,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,,,0.0,8.0,1.0,,0.0,33.0,
29,2024-05-18,2024,8,UFL,PANTHERS,SHOWBOATS,,,,0.0,14.0,3.0,,0.0,33.0,
35,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,,,,0.0,3.0,2.0,,1.0,98.0,
40,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,,,0.0,9.0,2.0,,2.0,54.0,
79,2025-03-28,2025,1,UFL,ROUGHNECKS,BATTLEHAWKS,,1.0,1.0,0.0,12.0,1.0,,2.0,51.0,
50,2025-04-06,2025,2,UFL,BATTLEHAWKS,BRAHMAS,,,,0.0,0.0,1.0,,1.0,71.0,
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,,1.0,51.0,1.0,,1.0,68.0,
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,,0.0,25.0,2.0,,0.0,48.0,
58,2025-04-25,2025,5,UFL,STALLIONS,SHOWBOATS,1.0,,,0.0,-1.0,1.0,,0.0,64.0,
67,2025-05-11,2025,7,UFL,STALLIONS,ROUGHNECKS,,,,0.0,9.0,1.0,,0.0,38.0,
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,,1.0,29.0,4.0,,0.0,52.0,
74,2025-05-24,2025,9,UFL,STALLIONS,PANTHERS,,,,1.0,39.0,6.0,,0.0,26.0,
