game_id,date,season,week,league,away,home,award_mvp
FOOTBALL_XLEAGUE_2000_SEASON_TOTAL,,2000,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2002_SEASON_TOTAL,,2002,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2007_SEASON_TOTAL,,2007,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2013_SEASON_TOTAL,,2013,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2014_SEASON_TOTAL,,2014,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2015_SEASON_TOTAL,,2015,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2016_SEASON_TOTAL,,2016,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2017_SEASON_TOTAL,,2017,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2018_SEASON_TOTAL,,2018,1,XLEAGUE,,,1.0
FOOTBALL_XLEAGUE_2019_SEASON_TOTAL,,2019,1,XLEAGUE,,,1.0
