game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_td,kr_yds,pr_no,pr_td,pr_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,1.0,1.0,,47.0,9.0,8.0,,154.0,1.0,1.0,45.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,1.0,,1.0,,22.0,6.0,,,,,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,3.0,1.0,1.0,48.0,12.0,10.0,2.0,288.0,1.0,,2.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,,2.0,3.0,,47.0,10.0,12.0,,414.0,3.0,,32.0
