game_id,date,season,week,league,away,home,1pt_conversion,3pt_pass,completions,conversions,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,interceptions_lost,lost_fumbles,pass_attempts,passing_tds,passing_yards,rush_attempts,rushing_tds,rushing_yards
FOOTBALL_AAF_2019_2_10_MEM@BIR,2019-02-10,2019,1,AAF,MEM,BIR,,,3.0,,,,,,,1.0,,4.0,0.0,22.0,,,
FOOTBALL_AAF_2019_3_16_MEM@SL,2019-03-16,2019,6,AAF,MEM,SL,,,23.0,,0.0,1.0,1.0,0.0,0.0,0.0,,37.0,1.0,242.0,1.0,0.0,3.0
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,,,24.0,,,,,,,0.0,,35.0,2.0,266.0,1.0,0.0,3.0
FOOTBALL_AAF_2019_3_30_ORL@MEM,2019-03-30,2019,8,AAF,ORL,MEM,,,30.0,,,,,,,1.0,,49.0,1.0,269.0,2.0,0.0,16.0
FOOTBALL_XFL_2020_2_8_SEA@DC,2020-02-08,2020,1,XFL,SEA,DC,,,21.0,,,,,,,2.0,,40.0,3.0,217.0,1.0,,1.0
FOOTBALL_XFL_2020_2_15_TB@SEA,2020-02-15,2020,2,XFL,TB,SEA,,,7.0,,,,,,,1.0,,18.0,1.0,91.0,,,
FOOTBALL_XFL_2020_2_22_DAL@SEA,2020-02-22,2020,3,XFL,DAL,SEA,,,21.0,,,,,,,1.0,,34.0,2.0,204.0,5.0,,15.0
FOOTBALL_XFL_2020_2_29_SEA@STL,2020-02-29,2020,4,XFL,SEA,STL,,,4.0,,,,,,,,,10.0,,27.0,,,
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,,,,,,,2.0,,,2.0,272.0,,,
FOOTBALL_XFL_2023_2_26_ARL@HOU,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,,,,,,,,,,,,,2.0,173.0,,,-7.0
SYNTHETIC_XFL_2023_W2_ROUGHNECKS,2023-02-26,2023,2,XFL,ROUGHNECKS,RENEGADES,0.0,,,1.0,,,,,,,,,,,,,
FOOTBALL_XFL_2023_3_5_SA@HOU,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,,,,,,,,,,1.0,,,3.0,278.0,,,-1.0
SYNTHETIC_XFL_2023_W3_ROUGHNECKS,2023-03-05,2023,3,XFL,ROUGHNECKS,BRAHMAS,0.0,,,1.0,,,,,,,,,,,,,
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,,,,,,,,,,,,,3.0,239.0,,,-1.0
SYNTHETIC_XFL_2023_W4_ROUGHNECKS,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,0.0,,,1.0,,,,,,,,,,,,,
FOOTBALL_XFL_2023_3_16_HOU@SEA,2023-03-16,2023,5,XFL,HOU,SEA,,,,,,,,,,1.0,1.0,,1.0,227.0,,,
SYNTHETIC_XFL_2023_W5_ROUGHNECKS,2023-03-16,2023,5,XFL,SEA DRAGONS,ROUGHNECKS,0.0,,,0.0,,,,,,,,,,,,,
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,,,,,,,1.0,,,,111.0,,,
SYNTHETIC_XFL_2023_W6_ROUGHNECKS,2023-03-27,2023,6,XFL,DEFENDERS,ROUGHNECKS,0.0,,,1.0,,,,,,,,,,,,,
FOOTBALL_XFL_2023_4_9_HOU@SA,2023-04-09,2023,8,XFL,HOU,SA,,,,,,,,,,2.0,,,2.0,146.0,,,1.0
SYNTHETIC_XFL_2023_W8_ROUGHNECKS,2023-04-09,2023,8,XFL,BRAHMAS,ROUGHNECKS,0.0,,,0.0,,,,,,,,,,,,,
FOOTBALL_XFL_2023_4_15_VGS@HOU,2023-04-15,2023,9,XFL,VGS,HOU,,,,,,,,,,2.0,,,,105.0,,,6.0
SYNTHETIC_XFL_2023_W9_ROUGHNECKS,2023-04-15,2023,9,XFL,ROUGHNECKS,VIPERS,1.0,,,0.0,,,,,,,,,,,,,
SYNTHETIC_UFL_2025_W9_BATTLEHAWKS,2025-05-23,2025,9,UFL,BRAHMAS,BATTLEHAWKS,,,,1.0,,,,,,0.0,,,1.0,100.0,,0.0,-4.0
SYNTHETIC_UFL_2025_W10_BATTLEHAWKS,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,,,,,,,,0.0,,,0.0,105.0,,0.0,-2.0
SYNTHETIC_UFL_2026_W1_ST.LOUISBATTLEHAWKS,2026-03-28,2026,1,UFL,DC DEFENDERS,ST. LOUIS BATTLEHAWKS,,,,,,,,,,0.0,,,1.0,198.0,,0.0,-2.0
SYNTHETIC_UFL_2026_W2_ST.LOUISBATTLEHAWKS,2026-04-07,2026,2,UFL,ST. LOUIS BATTLEHAWKS,DALLAS RENEGADES,,1.0,,,,,,,,2.0,,,1.0,186.0,,0.0,16.0
SYNTHETIC_UFL_2026_W3_ST.LOUISBATTLEHAWKS,2026-04-12,2026,3,UFL,BIRMINGHAM STALLIONS,ST. LOUIS BATTLEHAWKS,,,,,,,,,,1.0,,,0.0,76.0,,,
