game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_EDM@MTL,2016-10-10,2016,1,CFL,EDM,MTL,,,8.0,5.0,6.0,,13.0,13.0,19.0,30.0,2.0,145.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,19.0,2.0,3.0,,37.0,37.0,11.0,,1.0,76.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_28_EDM@HAM,2016-10-28,2016,1,CFL,EDM,HAM,,,,,1.0,,,,15.0,20.0,,132.0,,,,,
FOOTBALL_CFL_2016_11_13_EDM@HAM,2016-11-13,2016,1,CFL,EDM,HAM,,,12.0,1.0,1.0,,12.0,12.0,20.0,27.0,2.0,160.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,,,2.0,2.0,5.0,,2.0,2.0,12.0,33.0,,66.0,,,,,
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,,,,5.0,7.0,1.0,44.0,56.0,11.0,10.0,1.0,43.0,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2016_7_14_EDM@WPG,2016-07-14,2016,1,CFL,EDM,WPG,,,12.0,5.0,7.0,,25.0,25.0,10.0,7.0,,23.0,,,,,
FOOTBALL_CFL_2016_7_23_HAM@EDM,2016-07-23,2016,1,CFL,HAM,EDM,,,9.0,4.0,5.0,,20.0,26.0,8.0,11.0,1.0,30.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_7_8_SSK@EDM,2016-07-08,2016,1,CFL,SSK,EDM,,,5.0,4.0,4.0,,1.0,7.0,17.0,17.0,1.0,96.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2016_8_11_MTL@EDM,2016-08-11,2016,1,CFL,MTL,EDM,,,19.0,4.0,7.0,,17.0,17.0,13.0,18.0,,66.0,,,,,
FOOTBALL_CFL_2016_8_20_EDM@TOR,2016-08-20,2016,1,CFL,EDM,TOR,,,14.0,4.0,4.0,,27.0,34.0,7.0,27.0,,55.0,,,,,
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,,,14.0,3.0,3.0,,23.0,24.0,9.0,8.0,,33.0,,,,,
FOOTBALL_CFL_2016_9_10_CGY@EDM,2016-09-10,2016,1,CFL,CGY,EDM,,,32.0,3.0,4.0,,45.0,49.0,10.0,12.0,,25.0,,,,,
FOOTBALL_CFL_2016_9_30_EDM@WPG,2016-09-30,2016,1,CFL,EDM,WPG,,,30.0,7.0,7.0,,62.0,64.0,19.0,27.0,2.0,104.0,1.0,,14.0,2.0,2.0
FOOTBALL_CFL_2016_9_5_EDM@CGY,2016-09-05,2016,1,CFL,EDM,CGY,,,12.0,4.0,6.0,,8.0,23.0,11.0,15.0,,50.0,,,,,
FOOTBALL_CFL_2017_6_24_EDM@BC,2017-06-24,2017,1,CFL,EDM,BC,,,8.0,2.0,2.0,,4.0,4.0,17.0,43.0,1.0,104.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_6_30_MTL@EDM,2017-06-30,2017,1,CFL,MTL,EDM,,,,,,,,,3.0,12.0,,8.0,,,,,
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,,12.0,3.0,5.0,,25.0,25.0,13.0,11.0,,52.0,,,,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,,,,,,,9.0,36.0,,88.0,,,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,,,,,,,,,12.0,21.0,1.0,55.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_28_OTT@HAM,2018-07-28,2018,1,CFL,OTT,HAM,,,,,,,,,8.0,6.0,,25.0,,,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,,,,,,,,,2.0,11.0,,9.0,,,,,
FOOTBALL_CFL_2018_9_22_HAM@BC,2018-09-22,2018,1,CFL,HAM,BC,,,10.0,2.0,3.0,,17.0,17.0,19.0,11.0,1.0,62.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_29_BC@HAM,2018-09-29,2018,1,CFL,BC,HAM,,,7.0,3.0,3.0,,9.0,9.0,15.0,32.0,,108.0,,,,,
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,,,9.0,4.0,4.0,,18.0,20.0,11.0,26.0,,84.0,,,,,
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,,,11.0,2.0,4.0,,2.0,16.0,12.0,8.0,,38.0,,,,,
FOOTBALL_CFL_2019_10_5_TOR@BC,2019-10-05,2019,1,CFL,TOR,BC,,,10.0,2.0,2.0,,3.0,5.0,20.0,15.0,,121.0,,,,,
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,,7.0,6.0,7.0,,19.0,28.0,17.0,10.0,,44.0,,,,,
FOOTBALL_CFL_2019_6_15_WPG@BC,2019-06-15,2019,1,CFL,WPG,BC,2.0,2.0,17.0,3.0,5.0,,13.0,18.0,4.0,6.0,,4.0,,,,,
FOOTBALL_CFL_2019_6_21_BC@EDM,2019-06-21,2019,1,CFL,BC,EDM,,,8.0,1.0,1.0,,2.0,8.0,8.0,27.0,,24.0,,,,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,,9.0,9.0,1.0,71.0,87.0,14.0,14.0,1.0,64.0,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2019_7_11_EDM@BC,2019-07-11,2019,1,CFL,EDM,BC,,,10.0,3.0,3.0,,18.0,19.0,11.0,18.0,,53.0,,,,,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,,,13.0,3.0,3.0,,21.0,25.0,3.0,8.0,,17.0,,,,,
FOOTBALL_CFL_2019_7_27_SSK@BC,2019-07-27,2019,1,CFL,SSK,BC,,,,,,,,,9.0,14.0,,29.0,,,,,
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,1.0,1.0,17.0,4.0,4.0,,25.0,28.0,22.0,32.0,1.0,138.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_8_10_BC@HAM,2019-08-10,2019,1,CFL,BC,HAM,1.0,1.0,6.0,1.0,2.0,,6.0,6.0,15.0,25.0,2.0,124.0,,,12.0,2.0,2.0
FOOTBALL_CFL_2019_8_15_BC@WPG,2019-08-15,2019,1,CFL,BC,WPG,,,8.0,1.0,2.0,,8.0,8.0,11.0,17.0,1.0,53.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_8_24_HAM@BC,2019-08-24,2019,1,CFL,HAM,BC,,,23.0,1.0,1.0,,13.0,23.0,4.0,30.0,,53.0,,,,,
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,,,14.0,3.0,3.0,,34.0,34.0,17.0,11.0,1.0,80.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,8.0,3.0,6.0,,16.0,16.0,14.0,35.0,1.0,78.0,,,6.0,1.0,1.0
