game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-DAL-ATX,2023-05-06,2023,2,,DAL,ATX,1.0,,9.0,6.0,,2.0,1.0,1.0,6.0,,313.0,5.0
2023-05-13-HTX-DAL,2023-05-13,2023,3,,HTX,DAL,,,5.0,3.0,,1.0,1.0,,4.0,,92.0,16.0
2023-05-28-ATX-DAL,2023-05-28,2023,5,,ATX,DAL,2.0,1.0,17.0,10.0,1.0,6.0,2.0,,11.0,1.0,337.0,52.0
2023-06-03-DAL-HTX,2023-06-03,2023,6,,DAL,HTX,3.0,1.0,18.0,13.0,,5.0,1.0,,13.0,,282.0,74.0
2023-06-09-CAR-DAL,2023-06-09,2023,7,,CAR,DAL,3.0,1.0,22.0,18.0,,3.0,1.0,,21.0,2.0,305.0,17.0
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,,,17.0,11.0,,5.0,3.0,,12.0,1.0,352.0,35.0
2023-06-24-ATL-DAL,2023-06-24,2023,9,,ATL,DAL,,1.0,14.0,9.0,1.0,4.0,1.0,,11.0,2.0,174.0,12.0
2023-07-01-DAL-ATX,2023-07-01,2023,10,,DAL,ATX,1.0,,16.0,13.0,,2.0,2.0,,14.0,1.0,397.0,-24.0
2023-07-08-ATX-DAL,2023-07-08,2023,11,,ATX,DAL,2.0,2.0,25.0,21.0,1.0,4.0,4.0,,21.0,,316.0,78.0
2023-07-15-HTX-DAL,2023-07-15,2023,12,,HTX,DAL,2.0,,22.0,17.0,,5.0,2.0,,17.0,,306.0,56.0
2023-07-22-DAL-HTX,2023-07-22,2023,13,,DAL,HTX,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
