game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,2.0,9.0,5.0,63.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,12.0,23.0,298.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,12.0,10.0,76.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.0,12.0,,
