game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,4.0,8.0,,,25.0,4.0,323.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,12.0,1.0,17.0,22.0,3.0,289.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,9.0,,,7.0,2.0,39.0
