game_id,date,season,week,league,away,home,1pt_conversion,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
SYNTHETIC_UFL_2025_W1_ROUGHNECKS,,2025,1,UFL,,,,,,,0.0,4.0
SYNTHETIC_UFL_2025_W2_ROUGHNECKS,,2025,2,UFL,,,,,,,0.0,6.0
SYNTHETIC_UFL_2025_W3_ROUGHNECKS,,2025,3,UFL,,,,,,,0.0,32.0
SYNTHETIC_UFL_2025_W4_ROUGHNECKS,,2025,4,UFL,,,1.0,0.0,21.0,3.0,0.0,14.0
SYNTHETIC_UFL_2025_W5_ROUGHNECKS,,2025,5,UFL,,,,,,,0.0,13.0
SYNTHETIC_UFL_2025_W6_ROUGHNECKS,,2025,6,UFL,,,,0.0,11.0,2.0,0.0,1.0
SYNTHETIC_UFL_2025_W7_ROUGHNECKS,,2025,7,UFL,,,,0.0,0.0,0.0,0.0,18.0
SYNTHETIC_UFL_2025_W8_ROUGHNECKS,,2025,8,UFL,,,,,,,0.0,33.0
SYNTHETIC_UFL_2025_W9_ROUGHNECKS,,2025,9,UFL,,,,0.0,3.0,1.0,1.0,80.0
SYNTHETIC_UFL_2025_W10_ROUGHNECKS,,2025,10,UFL,,,,0.0,21.0,3.0,1.0,30.0
SYNTHETIC_UFL_2026_W1_DALLASRENEGADES,,2026,1,UFL,,,,0.0,14.0,2.0,0.0,36.0
SYNTHETIC_UFL_2026_W4_DALLASRENEGADES,,2026,4,UFL,,,,,,,0.0,12.0
