game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,fg_attempts,field_goal_long,field_goal_pct,field_goal_yards,field_goals_made,forced_fumbles,fumble_recoveries,interceptions_lost,kicking_deuce,kicking_pat,kicking_pat_att,kicking_pat_pct,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,passing_tds,passing_yards,patkick,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles,xp_attempts,xp_made
4002611110441,,,4,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,1.0,42.0,4.0,0.0,0.0,,,,
CORPUSCHRISTI-ALBANY-0425,2025-04-25,2025,7,AF1,CORPUS CHRISTI,ALBANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,,,,
FOOTBALL_AF1_2026_5_17_T584761G1168220@T584747,2026-05-17,2026,6,AF1,Beaumont Renegades,Kentucky Barrels,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,2.0,6.0,333.0,,,,,,,,,,,,,,,,,,
FOOTBALL_AF1_2026_5_24_T584747G1168383@T612138,2026-05-25,2026,7,AF1,Kentucky Barrels,Oceanside Stealth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,5.0,600.0,,,,,,,,,,,,,,,0.0,1.0,,
FOOTBALL_IFL_2026_7_26_TORLANDOPIRATESG20260726LXNH@TFISHERSFREIGHT,2026-07-26,2026,20,IFL,Orlando Pirates,Fishers Freight,,,,,,,,,,,,,,,,,,,3.0,45.6,0.0,0.0,456.0,10.0,,,,,,,,,,,5.0,3.0
