game_id,date,season,week,league,away,home,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,sacks,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm,tackles
FOOTBALL_CFL_2016_10_15_MTL@CGY,2016-10-15,2016,1,CFL,MTL,CGY,,,,,,,,75.0,3.0,3.0,67.0,,215.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_10_22_MTL@SSK,2016-10-22,2016,1,CFL,MTL,SSK,,,,,,,,73.0,4.0,4.0,73.0,,273.0,,,,,7.0,3.0,2.0,49.0,7.0,2.0,1.0,
FOOTBALL_CFL_2016_10_30_CGY@MTL,2016-10-30,2016,1,CFL,CGY,MTL,,,,,,,,70.0,5.0,5.0,119.0,,314.0,,,,,5.0,1.0,1.0,36.0,5.0,2.0,2.0,
FOOTBALL_CFL_2016_11_5_MTL@HAM,2016-11-05,2016,1,CFL,MTL,HAM,,,,,,,,87.0,6.0,5.0,105.0,,445.0,,,,,8.0,1.0,1.0,16.0,7.0,4.0,4.0,
FOOTBALL_CFL_2016_6_24_MTL@WPG,2016-06-24,2016,1,CFL,MTL,WPG,,,,,,,,74.0,3.0,3.0,88.0,,207.0,,,,,8.0,3.0,2.0,47.0,8.0,2.0,2.0,
FOOTBALL_CFL_2016_6_30_OTT@MTL,2016-06-30,2016,1,CFL,OTT,MTL,,,,,,,,72.0,2.0,1.0,28.0,,140.0,,,,,7.0,3.0,1.0,53.0,4.0,1.0,1.0,
FOOTBALL_CFL_2016_7_15_HAM@MTL,2016-07-15,2016,1,CFL,HAM,MTL,,,,,,,,72.0,4.0,4.0,95.0,1.0,272.0,,,,,7.0,3.0,2.0,43.0,6.0,,,
FOOTBALL_CFL_2016_7_25_MTL@TOR,2016-07-25,2016,1,CFL,MTL,TOR,,,,,,,,85.0,3.0,2.0,38.0,,238.0,,,,,5.0,3.0,,,2.0,2.0,2.0,
FOOTBALL_CFL_2016_7_29_SSK@MTL,2016-07-29,2016,1,CFL,SSK,MTL,,,,,,,,77.0,6.0,6.0,102.0,,426.0,,,,,9.0,2.0,1.0,13.0,8.0,5.0,5.0,
FOOTBALL_CFL_2017_10_22_HAM@MTL,2017-10-22,2017,1,CFL,HAM,MTL,,,,,,,,77.0,3.0,1.0,20.0,1.0,217.0,,,,,2.0,,,,1.0,1.0,1.0,
FOOTBALL_CFL_2017_10_9_EDM@MTL,2017-10-09,2017,1,CFL,EDM,MTL,,,,,,,,73.0,3.0,3.0,86.0,,209.0,,,,,12.0,4.0,4.0,45.0,12.0,,,
FOOTBALL_CFL_2017_6_22_SSK@MTL,2017-06-22,2017,1,CFL,SSK,MTL,,,,,,,,72.0,4.0,4.0,107.0,,269.0,,,,,5.0,2.0,1.0,18.0,5.0,2.0,2.0,
FOOTBALL_CFL_2017_6_30_MTL@EDM,2017-06-30,2017,1,CFL,MTL,EDM,,,,,,,,72.0,2.0,2.0,41.0,,132.0,,,,,13.0,4.0,4.0,46.0,13.0,1.0,1.0,
