game_id,date,season,week,league,away,home,def_tackles,gp,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,5.0,12.0,1.0,15.0,8.0,,89.0,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,,,16.0,3.0,209.0,1.0,1.0,10.0
