game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_tar,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2021_10_11_OTT@MTL,2021-10-11,2021,1,CFL,OTT,MTL,,,,,23.0,13.0,1.0,41.0,37.0,5.0,,125.0,,,,,,,5.0,36.0,,64.0,,,,,,,,
FOOTBALL_CFL_2021_10_16_MTL@OTT,2021-10-16,2021,1,CFL,MTL,OTT,,,,,23.0,12.0,3.0,37.0,39.0,6.0,1.0,145.0,,,,,,,3.0,17.0,,31.0,,,,,,,,
FOOTBALL_CFL_2021_10_23_OTT@HAM,2021-10-23,2021,1,CFL,OTT,HAM,,,,,15.0,12.0,2.0,27.0,5.0,3.0,,138.0,,,,,,,1.0,10.0,,10.0,,,,,,,,
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,,,,29.0,15.0,,50.0,26.0,5.0,1.0,173.0,,,,,,,8.0,14.0,,68.0,,,,,,,,
FOOTBALL_CFL_2021_10_6_OTT@TOR,2021-10-06,2021,1,CFL,OTT,TOR,,,,,41.0,23.0,3.0,47.0,13.0,2.0,,334.0,,,,,,,6.0,22.0,,54.0,,,,,,,,
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,,,,,29.0,18.0,,39.0,18.0,4.0,,173.0,,,,,,,10.0,15.0,2.0,56.0,,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2021_11_6_TOR@OTT,2021-11-06,2021,1,CFL,TOR,OTT,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,3.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2021_9_28_EDM@OTT,2021-09-28,2021,1,CFL,EDM,OTT,,,,,22.0,15.0,,44.0,6.0,1.0,3.0,191.0,,,,,,,7.0,17.0,,59.0,,,,,,,,
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,,,,,,,,,,,,,,,,,,,7.0,3.0,2.0,11.0,,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,6.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_10_21_OTT@HAM,2022-10-21,2022,1,CFL,OTT,HAM,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,7.0,,,,,12.0,2.0,2.0,
