game_id,date,season,week,league,away,home,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,11.0,1.0,4.0,1.0,7.0,
PUL_2026_SEASON_TOTAL,,2026,1,PUL,,,12.0,1.0,4.0,-1.0,27.0,2.0
