game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_5_24_TNEWMEXICOCHUPACABRASG20260524HN6I@TORLANDOPIRATES,2026-05-24,2026,,IFL,New Mexico Chupacabras,Orlando Pirates,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,3.0,5.0,1.0,0.0
FOOTBALL_NAL_2026_3_14_T577047G1127139@T566774,2026-03-14,2026,2,NAL,Pueblo Punishers,Omaha Beef,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,3.0,6.0,,0.0,0.0,6.0,2.0,,-1.0,0.0,1.0,0.0,0.0,-1.0,,0.0,0.0,,1.0,,
FOOTBALL_NAL_2026_3_28_T566774G1127145@T600414,2026-03-28,2026,4,NAL,Omaha Beef,Southwest Kansas Storm,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,1.0,0.0,1.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,,1.0,0.0,11.0,1.0,,5.0,0.0,1.0,0.0,0.0,5.0,,0.0,0.0,,1.0,,
FOOTBALL_IFL_2026_4_12_TTULSAOILERSG20260412T2GX@TORLANDOPIRATES,2026-04-12,2026,5,IFL,Tulsa Oilers,Orlando Pirates,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,0.0,0.0,5.0,1.0,,,,,,,,,,,,,,
FOOTBALL_AF1_2026_5_30_T612138G1168387@T584635,2026-05-30,2026,8,AF1,Oceanside Stealth,Albany Firebirds,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,15.0,15.0,0.0,0.0,0.0,15.0,1.0,,,,,,,,,0.0,,,1.0,,
FOOTBALL_NAL_2026_4_25_T581933G1127161@T566774,2026-04-25,2026,8,NAL,Dallas Bulls,Omaha Beef,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,5.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,
FOOTBALL_AF1_2026_6_12_T606163G1168394@T584635,2026-06-12,2026,10,AF1,Michigan Arsenal,Albany Firebirds,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,11.0,,0.0,11.0,,,,,,,,,,,,23.0,23.0,0.0,0.0,0.0,23.0,1.0,0.0,,,,,,,,0.0,,,1.0,,
FOOTBALL_NAL_2026_5_9_T573852G1127170@T566774,2026-05-09,2026,10,NAL,Louisiana Rouxgaroux,Omaha Beef,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,0.0,0.0,9.0,1.0,,-3.0,0.0,1.0,0.0,0.0,-3.0,,,,,,,
FOOTBALL_AF1_2026_6_20_T584635G1168398@T584637,2026-06-20,2026,11,AF1,Albany Firebirds,Nashville Kats,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,23.0,0.0,0.0,2.0,94.0,7.0,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_30_TORLANDOPIRATESG20260530J4E8@TTUCSONSUGARSKULLS,2026-05-30,2026,12,IFL,Orlando Pirates,Tucson Sugar Skulls,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,
FOOTBALL_IFL_2026_6_6_TIOWABARNSTORMERSG202606060Q8D@TORLANDOPIRATES,2026-06-06,2026,13,IFL,Iowa Barnstormers,Orlando Pirates,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.5,,6.0,9.0,0.5,0.0
FOOTBALL_IFL_2026_6_13_TORLANDOPIRATESG202606136M0I@TTULSAOILERS,2026-06-13,2026,14,IFL,Orlando Pirates,Tulsa Oilers,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,,
FOOTBALL_IFL_2026_7_11_TORLANDOPIRATESG20260711VSBZ@TSANANTONIOGUNSLINGERS,2026-07-11,2026,18,IFL,Orlando Pirates,San Antonio Gunslingers,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,0.0
