game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_goals,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,10.0,,,11.0,,,16.0,,10.0,,,
NLL_2021_SEASON_TOTAL,,,1,,,,7.0,,,18.0,5.0,,46.0,,12.0,,,
NLL_2022_SEASON_TOTAL,,,1,,,,12.0,,,18.0,3.0,,26.0,,15.0,1.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,8.0,,,18.0,2.0,,25.0,,10.0,,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0
