game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_5_17_TIOWABARNSTORMERSG202605177DL7@TNAZWRANGLERS,2026-05-17,2026,,IFL,Iowa Barnstormers,NAZ Wranglers,,,,,,,,,,,,,,,13.0,13.0,0.0,13.0,1.0,6.0,6.0,1.0,0.0,6.0,,,,,,
FOOTBALL_IFL_2026_5_2_TQUADCITYSTEAMWHEELERSG20260502INST@TIOWABARNSTORMERS,2026-05-02,2026,,IFL,Quad City Steamwheelers,Iowa Barnstormers,,,,,,,,,,,,,,,13.2,19.0,0.0,79.0,6.0,,,,,,,,,,,
FOOTBALL_NAL_2026_3_7_T566773G1127137@T573852,2026-03-08,2026,1,NAL,Amarillo Warbirds,Louisiana Rouxgaroux,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,4.0,,
FOOTBALL_IFL_2026_4_4_TGREENBAYBLIZZARDG2026040443LQ@TIOWABARNSTORMERS,2026-04-04,2026,4,IFL,Green Bay Blizzard,Iowa Barnstormers,,,,,,,,,,,,,,,13.6,29.0,1.0,68.0,5.0,,,,,,,,,,,
FOOTBALL_IFL_2026_4_11_TIOWABARNSTORMERSG20260411Y06T@TFISHERSFREIGHT,2026-04-11,2026,5,IFL,Iowa Barnstormers,Fishers Freight,,,,,,,,,,,,,,,12.0,12.0,0.0,12.0,1.0,,,,,,,,,,,
FOOTBALL_IFL_2026_4_25_TFISHERSFREIGHTG202604259U64@TIOWABARNSTORMERS,2026-04-25,2026,7,IFL,Fishers Freight,Iowa Barnstormers,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,,,,,,,,,,,
FOOTBALL_IFL_2026_5_22_TJACKSONVILLESHARKSG20260522TJEW@TIOWABARNSTORMERS,2026-05-22,2026,11,IFL,Jacksonville Sharks,Iowa Barnstormers,,,,,,,,,,1.0,7.0,7.0,0.0,7.0,10.0,18.0,1.0,20.0,2.0,,,,,,,,,,,
FOOTBALL_IFL_2026_5_30_TIOWABARNSTORMERSG20260530KP8L@TTULSAOILERS,2026-05-30,2026,12,IFL,Iowa Barnstormers,Tulsa Oilers,,,,,,,,,,,,,,,13.8,30.0,1.0,55.0,4.0,,,,,,,,,,,
FOOTBALL_IFL_2026_6_6_TIOWABARNSTORMERSG202606060Q8D@TORLANDOPIRATES,2026-06-06,2026,13,IFL,Iowa Barnstormers,Orlando Pirates,,,,,,,,,,,,,,,10.0,17.0,0.0,30.0,3.0,5.5,7.0,2.0,0.0,11.0,,,,,,
FOOTBALL_IFL_2026_6_13_TQUADCITYSTEAMWHEELERSG20260613M6TV@TIOWABARNSTORMERS,2026-06-13,2026,14,IFL,Quad City Steamwheelers,Iowa Barnstormers,,,,,,,,,,,,,,,10.0,12.0,1.0,40.0,4.0,13.0,13.0,1.0,0.0,13.0,,,,,,
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,,,,,,,,,,,,,,,12.0,12.0,1.0,12.0,1.0,,,,,,,,,,,
FOOTBALL_IFL_2026_7_11_TGREENBAYBLIZZARDG20260711PZT2@TIOWABARNSTORMERS,2026-07-11,2026,18,IFL,Green Bay Blizzard,Iowa Barnstormers,,,,,,,,1.0,1.0,,,,,,10.8,33.0,0.0,43.0,4.0,4.0,4.0,1.0,0.0,4.0,,,,,,
FOOTBALL_IFL_2026_7_18_TIOWABARNSTORMERSG202607188NRO@TJACKSONVILLESHARKS,2026-07-18,2026,19,IFL,Iowa Barnstormers,Jacksonville Sharks,0.0,,,,,,,,,,,,,,9.7,13.0,0.0,29.0,3.0,,,,,,,,1.0,1.0,1.0,0.0
