game_id,date,season,week,league,away,home,assist_tackles,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_made,sacks,solo_tackles,tackles
FOOTBALL_AAF_2019_2_9_SD@SA,2019-02-09,2019,1,AAF,SD,SA,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,2.0,
FOOTBALL_AAF_2019_2_17_ORL@SA,2019-02-17,2019,2,AAF,ORL,SA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
FOOTBALL_AAF_2019_2_24_SA@SD,2019-02-24,2019,3,AAF,SA,SD,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,
FOOTBALL_AAF_2019_3_17_SA@ATL,2019-03-17,2019,6,AAF,SA,ATL,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,
FOOTBALL_AAF_2019_3_31_ARI@SA,2019-03-31,2019,8,AAF,ARI,SA,1.0,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,
FOOTBALL_XFL_2020_2_9_TB@NY,2020-02-09,2020,1,XFL,TB,NY,,,,,,,,,,,,1.0,2.0,2.0
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,2.0,,,,,,,,,,,,2.0,4.0
FOOTBALL_XFL_2020_2_23_NY@STL,2020-02-23,2020,3,XFL,NY,STL,1.0,,,,,,,,,,,,,1.0
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,1.0,,,,,,,,,,,,,1.0
FOOTBALL_XFL_2020_3_7_NY@DAL,2020-03-07,2020,5,XFL,NY,DAL,1.0,,,,,,,,,,,,,1.0
