game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
10798142,2024-05-20,2024,1,CFL,WPG,SSK,0.0,16.0,1.0,,
10798020,2024-06-13,2024,2,CFL,WPG,OTT,0.0,0.0,0.0,,
10798025,2024-06-21,2024,3,CFL,BC,WPG,0.0,27.0,3.0,,
10798030,2024-06-29,2024,4,CFL,WPG,CGY,0.0,30.0,2.0,,
10798033,2024-07-05,2024,5,CFL,OTT,WPG,0.0,12.0,2.0,,
10798037,2024-07-12,2024,6,CFL,CGY,WPG,1.0,201.0,13.0,,
10798041,2024-07-19,2024,7,CFL,WPG,SSK,0.0,48.0,2.0,,
10798046,2024-07-27,2024,8,CFL,WPG,TOR,1.0,129.0,7.0,,
10798048,2024-08-01,2024,9,CFL,BC,WPG,0.0,112.0,7.0,,
10798059,2024-08-18,2024,11,CFL,WPG,BC,0.0,43.0,3.0,,
10798061,2024-08-23,2024,12,CFL,HAM,WPG,0.0,72.0,6.0,,
10798065,2024-09-01,2024,13,CFL,WPG,SSK,0.0,75.0,3.0,,
10798070,2024-09-07,2024,14,CFL,SSK,WPG,0.0,24.0,1.0,,
10798078,2024-09-21,2024,16,CFL,WPG,EDM,1.0,55.0,5.0,,
10798079,2024-09-27,2024,17,CFL,EDM,WPG,0.0,41.0,3.0,,
10798083,2024-10-04,2024,18,CFL,WPG,HAM,0.0,25.0,1.0,,
10798086,2024-10-11,2024,19,CFL,TOR,WPG,0.0,33.0,4.0,,
10798095,2024-10-26,2024,21,CFL,WPG,MTL,0.0,83.0,8.0,,
11824097,2025-09-06,2025,14,CFL,SSK,WPG,1.0,89.0,5.0,,
11824099,2025-09-12,2025,15,CFL,WPG,HAM,0.0,74.0,5.0,0.0,17.0
11824105,2025-09-20,2025,16,CFL,WPG,OTT,,11.0,1.0,,
11824109,2025-09-27,2025,17,CFL,HAM,WPG,0.0,97.0,3.0,,
11824116,2025-10-11,2025,19,CFL,WPG,EDM,1.0,65.0,4.0,,
11824118,2025-10-17,2025,20,CFL,SSK,WPG,1.0,46.0,3.0,,
