game_id,date,season,week,league,away,home,def_int,def_pd,def_tackles,gp
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,24.0,9.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,4.0,40.0,9.0
