game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,sacks,tackles
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,6.0,6.0,,,
FOOTBALL_CFL_2019_8_1_HAM@SSK,2019-08-01,2019,1,CFL,HAM,SSK,1.0,1.0,,,
9889286,2023-06-11,2023,1,CFL,SSK,EDM,,,,,1.0
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,,,2.0
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,0.0,0.0,8.0
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,,0.0,0.0,3.0
9889325,2023-08-20,2023,11,CFL,BC,SSK,,,0.0,0.0,3.0
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,,0.0,0.0,5.0
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,0.0,0.0,3.0
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,0.0,0.0,3.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,0.0,0.0,3.0
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,0.0,0.0,2.0
9889352,2023-10-07,2023,18,CFL,HAM,SSK,,,0.0,0.0,2.0
9889355,2023-10-13,2023,19,CFL,SSK,CGY,,,0.0,0.0,5.0
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,0.0,0.0,4.0
