game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,12.0,20.0,16.0,1.0,,153.0,,,3.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,12.0,24.0,17.0,,,222.0,,,20.0,1.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,12.0,30.0,17.0,1.0,2.0,271.0,,,,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,11.0,16.0,9.0,,3.0,122.0,1.0,1.0,6.0,,11.0
