game_id,date,season,week,league,away,home,games_played
NLL_2021_SEASON_TOTAL,,,1,,,,2.0
NLL_2022_SEASON_TOTAL,,,1,,,,16.0
NLL_2023_SEASON_TOTAL,,,1,,,,18.0
