game_id,date,season,week,league,away,home,gp,recv_rec,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,8.0,4.0,62.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,5.0,7.0,80.0
