game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,9.0,263.0,174.0,8.0,23.0,2037.0,,43.0,5.0,125.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,11.0,371.0,246.0,7.0,31.0,2930.0,,74.0,5.0,313.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,7.0,232.0,141.0,5.0,16.0,1677.0,,51.0,3.0,52.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,12.0,411.0,258.0,10.0,25.0,3216.0,,48.0,3.0,161.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,10.0,358.0,231.0,16.0,26.0,2966.0,1.0,48.0,3.0,240.0
