game_id,date,season,week,league,away,home,def_ff,def_int,def_pd,def_tackles,gp
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,3.0,,43.0,10.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,,1.0,14.0,9.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,,,17.0,11.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,2.0,4.0,3.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,2.0,4.0,11.0,12.0
