game_id,date,season,week,league,away,home,def_ff,def_tackles,gp,recv_rec,recv_td,recv_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,,9.0,13.0,4.0,153.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,1.0,11.0,22.0,1.0,209.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,1.0,11.0,11.0,,77.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,4.0,,,
