game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-06-DAL-ATX,2023-05-06,2023,2,,DAL,ATX,2.0,,16.0,12.0,,2.0,,2.0,,14.0,2.0,131.0,128.0
2023-05-13-HTX-DAL,2023-05-13,2023,3,,HTX,DAL,5.0,1.0,25.0,20.0,,3.0,1.0,4.0,,22.0,1.0,298.0,270.0
2023-05-28-ATX-DAL,2023-05-28,2023,5,,ATX,DAL,1.0,2.0,15.0,16.0,,1.0,4.0,1.0,,17.0,,164.0,147.0
2023-06-03-DAL-HTX,2023-06-03,2023,6,,DAL,HTX,1.0,1.0,21.0,18.0,,1.0,4.0,2.0,,23.0,5.0,298.0,203.0
2023-06-09-CAR-DAL,2023-06-09,2023,7,,CAR,DAL,,4.0,6.0,5.0,1.0,1.0,,,,6.0,1.0,26.0,-13.0
2023-06-17-DAL-ATL,2023-06-17,2023,8,,DAL,ATL,1.0,,14.0,10.0,,1.0,,,,13.0,2.0,135.0,51.0
2023-06-24-ATL-DAL,2023-06-24,2023,9,,ATL,DAL,,1.0,18.0,18.0,,,1.0,,,22.0,4.0,99.0,64.0
2023-07-01-DAL-ATX,2023-07-01,2023,10,,DAL,ATX,,1.0,32.0,29.0,,2.0,2.0,1.0,,34.0,5.0,166.0,226.0
2023-07-08-ATX-DAL,2023-07-08,2023,11,,ATX,DAL,,1.0,19.0,16.0,,1.0,1.0,,,18.0,1.0,145.0,24.0
2023-07-22-DAL-HTX,2023-07-22,2023,13,,DAL,HTX,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
