game_id,date,season,week,league,away,home,receptions,rushing_tds,rushing_yards
BILLINGS-OREGON,,,1,,,,1.0,,-4.0
LIGHTNING-WOLFPACK-MAR22,,,2,,,,,0.0,22.0
STORM-LIGHTNING-0330,2025-03-30,2025,3,AF1,OREGON,SW KANSAS,,0.0,2.0
SYNTHETIC_AF1_2025_W6_OREGON,2025-04-19,2025,6,AF1,OREGON,SALINA,,,3.0
