game_id,date,season,week,league,away,home,3pt_pass,conversions,interceptions_lost,lost_fumbles,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,,,,,,,,,,,,,,9.0,4.0,18.0,,
FOOTBALL_CFL_2019_11_2_EDM@SSK,2019-11-02,2019,1,CFL,EDM,SSK,,,,,3.0,1.0,1.0,15.0,4.0,1.0,15.0,,,2.0,4.0,8.0,,
SYNTHETIC_USFL_2023_W1_MAULERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,,,,,,,,,,,,23.0,,,,,7.0
SYNTHETIC_USFL_2023_W5_MAULERS,2023-05-13,2023,5,USFL,PANTHERS,MAULERS,,,1.0,1.0,,,,,,,,2.0,184.0,,,,1.0,59.0
SYNTHETIC_USFL_2023_W6_MAULERS,2023-05-20,2023,6,USFL,SHOWBOATS,MAULERS,,,1.0,,,,,,,,,,145.0,,,,,7.0
SYNTHETIC_USFL_2023_W8_MAULERS,2023-06-03,2023,8,USFL,MAULERS,GAMBLERS,,,,,,,,,,,,,214.0,,,,1.0,36.0
SYNTHETIC_USFL_2023_W11_MAULERS,,2023,11,USFL,,,,,,,,,,,,,,1.0,203.0,,,,,36.0
SYNTHETIC_USFL_2023_W12_MAULERS,,2023,12,USFL,,,,,,1.0,,,,,,,,,143.0,,,,,38.0
10,2024-04-13,2024,3,UFL,STALLIONS,SHOWBOATS,,,1.0,,,,,,,,,0.0,100.0,,,,0.0,2.0
13,2024-04-20,2024,4,UFL,BATTLEHAWKS,SHOWBOATS,,,0.0,,,,,,,,,0.0,37.0,,,,0.0,3.0
20,2024-04-28,2024,5,UFL,SHOWBOATS,PANTHERS,,,2.0,1.0,,,,,,,,3.0,248.0,,,,0.0,24.0
21,2024-05-04,2024,6,UFL,SHOWBOATS,STALLIONS,1.0,,1.0,,,,,,,,,1.0,65.0,,,,0.0,11.0
25,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,,1.0,,,,,,,,,1.0,127.0,,,,1.0,34.0
35,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,,,0.0,,,,,,,,,0.0,15.0,,,,,
45,2025-03-30,2025,1,UFL,SHOWBOATS,PANTHERS,,,1.0,,,,,,,,,0.0,104.0,,,,,
52,2025-04-12,2025,3,UFL,SHOWBOATS,ROUGHNECKS,,,0.0,,,,,,,,,0.0,63.0,,,,1.0,35.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,,,,,,,,,,1.0,96.0,,,,,65.0
55,2025-04-18,2025,4,UFL,PANTHERS,SHOWBOATS,,,0.0,,,,,,,,,0.0,13.0,,,,0.0,4.0
80,2025-04-19,2025,4,UFL,ROUGHNECKS,STALLIONS,,,0.0,,,,,,,,,1.0,154.0,,,,1.0,40.0
59,2025-04-26,2025,5,UFL,BATTLEHAWKS,PANTHERS,,,,,,,,,,,,,210.0,,,,1.0,63.0
69,2025-05-16,2025,8,UFL,BRAHMAS,SHOWBOATS,,3.0,1.0,,,,,,,,,1.0,181.0,,,,0.0,73.0
76,2025-05-31,2025,10,UFL,PANTHERS,ROUGHNECKS,,,0.0,,,,,,,,,1.0,166.0,,,,,7.0
78,2025-06-01,2025,10,UFL,SHOWBOATS,STALLIONS,,,0.0,,,,,,,,,0.0,14.0,,,,0.0,7.0
