game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W2_LEGION,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
SYNTHETIC_AUDL_W3_LEGION,,,3,AUDL,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-06-25-DAL-ATX,2022-06-25,2022,5,,DAL,ATX,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-02-ATX-DAL,2022-07-02,2022,6,,ATX,DAL,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-08-ATL-DAL,2022-07-08,2022,7,,ATL,DAL,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-16-DAL-ATX,2022-07-16,2022,8,,DAL,ATX,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-22-DAL-ATL,2022-07-22,2022,9,,DAL,ATL,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2022-07-23-DAL-TB,2022-07-23,2022,9,,DAL,TB,0.0,1.0,,,0.0,0.0,,,0.0,9.0,3.0
2022-07-30-TB-DAL,2022-07-30,2022,10,,TB,DAL,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0
2023-05-13-HTX-DAL,2023-05-13,2023,3,,HTX,DAL,,1.0,6.0,3.0,,,5.0,6.0,3.0,60.0,6.0
2023-06-03-DAL-HTX,2023-06-03,2023,6,,DAL,HTX,,1.0,3.0,1.0,,,3.0,3.0,2.0,45.0,
2023-06-09-CAR-DAL,2023-06-09,2023,7,,CAR,DAL,,1.0,2.0,1.0,,1.0,,1.0,,45.0,9.0
2023-07-01-DAL-ATX,2023-07-01,2023,10,,DAL,ATX,3.0,,3.0,3.0,,,8.0,3.0,,136.0,8.0
2023-07-08-ATX-DAL,2023-07-08,2023,11,,ATX,DAL,,1.0,,,,,12.0,,,,
