game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_14_OTT@HAM,2016-10-14,2016,1,CFL,OTT,HAM,,,39.0,27.0,,,16.0,2.0,1.0,393.0,8.0,11.0,2.0,37.0,12.0,2.0,2.0
FOOTBALL_CFL_2016_10_21_HAM@OTT,2016-10-21,2016,1,CFL,HAM,OTT,,,41.0,31.0,2.0,35.0,17.0,4.0,3.0,418.0,4.0,10.0,,20.0,,,
FOOTBALL_CFL_2016_10_29_OTT@WPG,2016-10-29,2016,1,CFL,OTT,WPG,,,33.0,23.0,1.0,46.0,15.0,2.0,,338.0,5.0,4.0,1.0,9.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_10_7_SSK@OTT,2016-10-07,2016,1,CFL,SSK,OTT,,,16.0,9.0,1.0,28.0,,,2.0,138.0,2.0,13.0,1.0,14.0,6.0,1.0,1.0
FOOTBALL_CFL_2016_11_20_EDM@OTT,2016-11-20,2016,1,CFL,EDM,OTT,,,26.0,15.0,1.0,42.0,7.0,1.0,2.0,246.0,3.0,4.0,,8.0,,,
FOOTBALL_CFL_2016_11_27_CGY@OTT,2016-11-27,2016,1,CFL,CGY,OTT,,,46.0,35.0,1.0,38.0,6.0,1.0,3.0,461.0,3.0,,2.0,3.0,12.0,2.0,2.0
FOOTBALL_CFL_2016_6_25_OTT@EDM,2016-06-25,2016,1,CFL,OTT,EDM,,,31.0,23.0,1.0,22.0,21.0,2.0,1.0,251.0,,,,,,,
FOOTBALL_CFL_2016_7_31_TOR@OTT,2016-07-31,2016,1,CFL,TOR,OTT,1.0,1.0,34.0,20.0,2.0,35.0,4.0,1.0,1.0,218.0,,,,,,,
FOOTBALL_CFL_2016_8_19_MTL@OTT,2016-08-19,2016,1,CFL,MTL,OTT,,,31.0,21.0,1.0,,38.0,5.0,2.0,322.0,1.0,5.0,,5.0,,,
FOOTBALL_CFL_2016_8_6_EDM@OTT,2016-08-06,2016,1,CFL,EDM,OTT,,,39.0,26.0,1.0,43.0,4.0,3.0,2.0,341.0,1.0,3.0,,3.0,,,
