game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,pim,points,pp_assists,pp_goals,sog,to
NLL_2021_SEASON_TOTAL,,,1,,,,2.0,,,2.0,,,,2.0,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,1.0,,,3.0,2.0,,,3.0,,,,
NLL_2023_SEASON_TOTAL,,,1,,,,12.0,,,7.0,8.0,,,20.0,1.0,4.0,,
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,1.0,1.0,1.0,,0.0,1.0,1.0,,,,1.0,1.0
