game_id,date,season,week,league,away,home,kick_returns,kr_long,kr_yards,pr_fc,pr_long,pr_yards,punt_returns,receiving_yards,receptions,rush_attempts,rushing_yards,solo_tackles,tackles
FOOTBALL_XFL_2020_2_8_LA@HOU,2020-02-08,2020,1,XFL,LA,HOU,4.0,28.0,88.0,,5.0,5.0,1.0,30.0,3.0,2.0,10.0,1.0,1.0
FOOTBALL_XFL_2020_2_16_DAL@LA,2020-02-16,2020,2,XFL,DAL,LA,2.0,28.0,44.0,1.0,4.0,4.0,1.0,15.0,2.0,1.0,17.0,,
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,1.0,23.0,23.0,,41.0,48.0,2.0,6.0,1.0,1.0,1.0,,
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,5.0,23.0,95.0,2.0,7.0,7.0,3.0,16.0,2.0,1.0,5.0,1.0,1.0
