game_id,date,season,week,league,away,home,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards
FOOTBALL_IFL_2026_6_27_TTULSAOILERSG2026062789TG@TIOWABARNSTORMERS,2026-06-27,2026,16,IFL,Tulsa Oilers,Iowa Barnstormers,3.0,15.0,25.0,0.0,45.0,,,,,
FOOTBALL_IFL_2026_7_11_TJACKSONVILLESHARKSG202607112P19@TTULSAOILERS,2026-07-11,2026,18,IFL,Jacksonville Sharks,Tulsa Oilers,1.0,18.0,18.0,0.0,18.0,1.0,3.0,3.0,0.0,3.0
FOOTBALL_IFL_2026_7_18_TQUADCITYSTEAMWHEELERSG20260718WOHW@TTULSAOILERS,2026-07-18,2026,19,IFL,Quad City Steamwheelers,Tulsa Oilers,1.0,4.0,4.0,0.0,4.0,,,,,
