game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,,,,,36.0,3.0,3.0,1.0,6.0,56.0,15.0,1.0,15.0,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,,,,,1.0,2.0,1.0,26.0,57.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,,,,16.0,2.0,2.0,,15.0,15.0,,,,,,,,,,
FOOTBALL_CFL_2021_9_17_CGY@HAM,2021-09-17,2021,1,CFL,CGY,HAM,,,,,74.0,4.0,5.0,,46.0,88.0,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_CGY,,2022,3,CFL,,,,0.0,21.0,2.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_CGY,,2022,5,CFL,,,,1.0,35.0,2.0,,,,,,,,,,,,,,,,
6231,2022-07-15,2022,6,CFL,CGY,WPG,,0.0,18.0,1.0,,,,,,,,,,,,,,,,
6240,2022-07-30,2022,8,CFL,WPG,CGY,,0.0,8.0,1.0,,,,,,,,,,,,,,,,
6253,2022-08-20,2022,11,CFL,CGY,TOR,,0.0,8.0,1.0,,,,,,,,,,,,,,,,
6268,2022-09-17,2022,15,CFL,BC,CGY,,1.0,49.0,4.0,,,,,,,,,,,,,,,,
6271,2022-09-24,2022,16,CFL,CGY,BC,,0.0,48.0,3.0,,,,,,,,,,,,,,,,
6275,2022-10-01,2022,17,CFL,TOR,CGY,,0.0,36.0,2.0,,,,,,,,,,,,,,,,
6281,2022-10-14,2022,19,CFL,HAM,CGY,,0.0,5.0,1.0,,,,,,,,,,,,,,,,
9889283,2023-06-08,2023,1,CFL,BC,CGY,,0.0,11.0,1.0,,,,,,,,,,,,,,,,
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,0.0,5.0,1.0,,,,,,,,,,,,,,,,
9889293,2023-06-24,2023,3,CFL,SSK,CGY,,0.0,58.0,3.0,,,,,,,,,,,,,,,,
9889305,2023-07-15,2023,6,CFL,CGY,SSK,,1.0,94.0,5.0,,,,,,,,,,,,,,,,
9889313,2023-07-30,2023,8,CFL,CGY,MTL,,0.0,9.0,1.0,,,,,,,,,,,,,,,,
9889320,2023-08-12,2023,10,CFL,CGY,BC,,0.0,18.0,2.0,,,,,,,,,,,,,,,,
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,0.0,9.0,1.0,,,,,,,,,,,,,,,,
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,1.0,18.0,1.0,,,,,,,,,,,,,,,,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,0.0,21.0,3.0,,,,,,,,,,,,,,,,
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,0.0,5.0,1.0,,,,,,,,,,,,,,,,
9889349,2023-09-30,2023,17,CFL,CGY,HAM,0.0,0.0,8.0,1.0,,,,,,,,,,,,0.0,,,,0.0
9889355,2023-10-13,2023,19,CFL,SSK,CGY,,0.0,47.0,2.0,,,,,,,,,,0.0,-5.0,,,,,
9889358,2023-10-20,2023,20,CFL,CGY,BC,,1.0,8.0,1.0,,,,,,,,,,,,,,,,
9889361,2023-10-27,2023,21,CFL,WPG,CGY,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
10798031,2024-06-30,2024,4,CFL,HAM,OTT,,0.0,8.0,1.0,,,,,,,,,,,,,,,,
10798035,2024-07-07,2024,5,CFL,BC,HAM,,1.0,17.0,2.0,,,,,,,,,,,,,,,,
10798042,2024-07-20,2024,7,CFL,TOR,HAM,,1.0,23.0,1.0,,,,,,,,,,,,,,,,
10798047,2024-07-28,2024,8,CFL,HAM,EDM,,1.0,83.0,2.0,,,,,,,,,,,,,,,,
10798049,2024-08-02,2024,9,CFL,MTL,HAM,,0.0,9.0,1.0,,,,,,,,,,,,,,,,
10798054,2024-08-10,2024,10,CFL,HAM,MTL,,1.0,16.0,1.0,,,,,,,,,,,,,,,,
10798058,2024-08-17,2024,11,CFL,EDM,HAM,,0.0,15.0,1.0,,,,,,,,,,,,,,,,
11824099,2025-09-12,2025,15,CFL,WPG,HAM,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
11824106,2025-09-20,2025,16,CFL,EDM,HAM,,,5.0,1.0,,,,,,,,,,,,,,,,
11824112,2025-10-04,2025,18,CFL,HAM,TOR,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W20_HAM,,2025,20,CFL,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
