game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-05-05-COL-SD,2023-05-05,2023,2,,COL,SD,,1.0,26.0,21.0,,2.0,2.0,1.0,25.0,3.0,223.0,151.0
2023-05-06-COL-LA,2023-05-06,2023,2,,COL,LA,,,,,1.0,,,,,,,
2023-05-13-SEA-COL,2023-05-13,2023,3,,SEA,COL,5.0,,53.0,51.0,,2.0,7.0,2.0,51.0,,296.0,263.0
2023-05-20-LA-COL,2023-05-20,2023,4,,LA,COL,4.0,1.0,36.0,35.0,1.0,2.0,,3.0,37.0,2.0,163.0,236.0
2023-06-04-OAK-COL,2023-06-04,2023,6,,OAK,COL,6.0,,38.0,34.0,2.0,4.0,4.0,5.0,35.0,1.0,382.0,432.0
2023-06-09-SLC-COL,2023-06-09,2023,7,,SLC,COL,1.0,,31.0,27.0,,3.0,3.0,1.0,28.0,1.0,267.0,183.0
2023-06-16-COL-SLC,2023-06-16,2023,8,,COL,SLC,2.0,,34.0,26.0,,,2.0,1.0,30.0,,239.0,81.0
2023-06-17-COL-OAK,2023-06-17,2023,8,,COL,OAK,,,,,,4.0,,,,3.0,,
2023-06-24-MIN-COL,2023-06-24,2023,9,,MIN,COL,2.0,,35.0,34.0,,1.0,3.0,2.0,34.0,,158.0,265.0
2023-06-30-COL-POR,2023-06-30,2023,10,,COL,POR,3.0,,34.0,28.0,,5.0,3.0,1.0,29.0,0.0,200.0,204.0
2023-07-14-NY-COL,2023-07-14,2023,12,,NY,COL,4.0,1.0,36.0,34.0,,,2.0,2.0,36.0,2.0,458.0,233.0
