game_id,date,season,week,league,away,home,assisted_tackles,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,solo_tackles,tackles
FOOTBALL_NAL_2026_3_21_T566774G1127144@T600411,2026-03-21,2026,3,NAL,Omaha Beef,Salina Liberty,,8.0,9.0,0.0,1.0,15.0,2.0,,
FOOTBALL_NAL_2026_3_28_T570667G1127147@T600411,2026-03-28,2026,4,NAL,Colorado Spartans,Salina Liberty,,19.0,42.0,0.0,1.0,56.0,3.0,,
FOOTBALL_NAL_2026_4_4_T577047G1127185@T600411,2026-04-04,2026,5,NAL,Pueblo Punishers,Salina Liberty,,9.0,13.0,0.0,2.0,43.0,5.0,,
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,1.0,,,,,,,0.0,1.0
FOOTBALL_NAL_2026_4_18_T600411G1127157@T570666,2026-04-19,2026,7,NAL,Salina Liberty,Sioux City Bandits,,6.0,6.0,0.0,0.0,6.0,1.0,,
FOOTBALL_NAL_2026_4_25_T600414G1127162@T600411,2026-04-25,2026,8,NAL,Southwest Kansas Storm,Salina Liberty,,8.0,14.0,0.0,0.0,24.0,3.0,,
FOOTBALL_NAL_2026_5_9_T600411G1127167@T600414,2026-05-09,2026,10,NAL,Salina Liberty,Southwest Kansas Storm,,16.0,23.0,0.0,2.0,49.0,3.0,,
