game_id,date,season,week,league,away,home,def_tackles,gp,kr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,2.0,11.0,43.0,,,24.0,7.0,719.0,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,11.0,,17.0,630.0,60.0,7.0,947.0,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,6.0,,,,22.0,6.0,344.0,
