game_id,date,season,week,league,away,home,pass_att,pass_cmp,pass_int,pass_lg,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,2.0,1.0,,3.0,,,3.0,,,,,,,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,1.0,1.0,,14.0,,,14.0,3.0,5.0,,9.0,,,
FOOTBALL_CFL_2021_10_15_WPG@EDM,2021-10-15,2021,1,CFL,WPG,EDM,,,,,,,,2.0,2.0,,4.0,,,
FOOTBALL_CFL_2021_10_1_WPG@BC,2021-10-01,2021,1,CFL,WPG,BC,1.0,,,,,,,3.0,2.0,1.0,4.0,6.0,1.0,1.0
FOOTBALL_CFL_2021_10_23_BC@WPG,2021-10-23,2021,1,CFL,BC,WPG,3.0,1.0,,5.0,,,5.0,3.0,3.0,,6.0,,,
FOOTBALL_CFL_2021_10_8_EDM@WPG,2021-10-08,2021,1,CFL,EDM,WPG,1.0,,,,,,,4.0,2.0,,4.0,,,
FOOTBALL_CFL_2021_11_13_WPG@MTL,2021-11-13,2021,1,CFL,WPG,MTL,26.0,11.0,4.0,42.0,,1.0,149.0,2.0,16.0,,26.0,,,
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,1.0,,,,,,,4.0,5.0,1.0,12.0,6.0,1.0,1.0
FOOTBALL_CFL_2021_12_5_SSK@WPG,2021-12-05,2021,1,CFL,SSK,WPG,,,,,,,,5.0,3.0,1.0,8.0,6.0,1.0,1.0
FOOTBALL_CFL_2021_8_13_TOR@WPG,2021-08-13,2021,1,CFL,TOR,WPG,,,,,,,,1.0,2.0,,2.0,,,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,,,,,,,,1.0,3.0,,3.0,,,
FOOTBALL_CFL_2021_9_11_SSK@WPG,2021-09-11,2021,1,CFL,SSK,WPG,1.0,1.0,,50.0,,,50.0,5.0,,3.0,5.0,18.0,3.0,3.0
FOOTBALL_CFL_2021_9_18_WPG@EDM,2021-09-18,2021,1,CFL,WPG,EDM,,,,,,,,2.0,3.0,1.0,4.0,6.0,1.0,1.0
FOOTBALL_CFL_2021_9_5_WPG@SSK,2021-09-05,2021,1,CFL,WPG,SSK,,,,,1.0,,,3.0,,2.0,3.0,12.0,2.0,2.0
