game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,sog,to
NLL_2019_SEASON_TOTAL,,,1,,,,,,,11.0,2.0,,8.0,,2.0,,,
NLL_2021_SEASON_TOTAL,,,1,,,,,,,6.0,,,10.0,,,,,
NLL_2022_SEASON_TOTAL,,,1,,,,5.0,,,18.0,,,4.0,,5.0,1.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,5.0,,,17.0,1.0,,10.0,,6.0,,,
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0
