game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_THUNDERBIRDS,,,1,AUDL,,,2.0,0.0,,,0.0,3.0,,,,,1.0,137.0,203.0
SYNTHETIC_AUDL_W2_THUNDERBIRDS,,,2,AUDL,,,0.0,0.0,,,0.0,0.0,,,,,1.0,61.0,34.0
SYNTHETIC_AUDL_W3_THUNDERBIRDS,,,3,AUDL,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-06-18-DET-PIT,2022-06-18,2022,4,,DET,PIT,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-02-PIT-IND,2022-07-02,2022,6,,PIT,IND,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-09-DET-PIT,2022-07-09,2022,7,AUDL,mechanix,thunderbirds,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-16-CAR-PIT,2022-07-16,2022,8,AUDL,flyers,thunderbirds,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2022-07-23-CHI-PIT,2022-07-23,2022,9,AUDL,union,thunderbirds,1.0,0.0,,,0.0,0.0,,,,,0.0,-11.0,-2.0
2023-05-27-PHI-PIT,2023-05-27,2023,5,AUDL,PHILADELPHIA PHOENIX,PITTSBURGH THUNDERBIRDS,,,14.0,17.0,,1.0,1.0,,,18.0,1.0,22.0,98.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,AUDL,PITTSBURGH THUNDERBIRDS,MADISON RADICALS,,1.0,28.0,29.0,,3.0,1.0,,1.0,29.0,,118.0,190.0
2023-06-11-DET-PIT,2023-06-11,2023,7,AUDL,DETROIT MECHANIX,PITTSBURGH THUNDERBIRDS,1.0,,8.0,9.0,,1.0,,1.0,,16.0,,21.0,97.0
2023-06-17-PIT-TOR,2023-06-17,2023,8,AUDL,PITTSBURGH THUNDERBIRDS,TORONTO RUSH,,,22.0,29.0,,2.0,1.0,,,29.0,,57.0,104.0
2023-06-30-DET-PIT,2023-06-30,2023,10,AUDL,DETROIT MECHANIX,PITTSBURGH THUNDERBIRDS,2.0,,24.0,28.0,,1.0,4.0,,,28.0,,12.0,197.0
2023-07-07-CHI-PIT,2023-07-07,2023,11,AUDL,CHICAGO UNION,PITTSBURGH THUNDERBIRDS,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0
2023-07-15-PIT-IND,2023-07-15,2023,12,AUDL,PITTSBURGH THUNDERBIRDS,INDIANAPOLIS ALLEYCATS,1.0,,37.0,39.0,,2.0,4.0,,,40.0,1.0,65.0,113.0
2023-07-22-IND-PIT,2023-07-22,2023,13,AUDL,INDIANAPOLIS ALLEYCATS,PITTSBURGH THUNDERBIRDS,1.0,,36.0,36.0,,2.0,,,,37.0,,75.0,157.0
2024-04-27-MIN-PIT,2024-04-27,2024,1,UFA,windchill,thunderbirds,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-05-11-MAD-PIT,2024-05-11,2024,3,UFA,radicals,thunderbirds,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-05-18-PIT-MIN,2024-05-18,2024,4,UFA,thunderbirds,windchill,0.0,0.0,,,0.0,3.0,,,,,0.0,81.0,5.0
2024-05-24-DET-PIT,2024-05-24,2024,5,UFA,mechanix,thunderbirds,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-05-25-PIT-TOR,2024-05-25,2024,6,UFA,thunderbirds,rush,0.0,0.0,,,0.0,1.0,,,,,1.0,47.0,272.0
2024-06-02-IND-PIT,2024-06-02,2024,6,UFA,alleycats,thunderbirds,0.0,0.0,,,0.0,1.0,,,,,0.0,14.0,8.0
2024-06-14-PIT-CHI,2024-06-14,2024,8,UFA,thunderbirds,union,2.0,1.0,,,0.0,0.0,,,,,0.0,17.0,58.0
2024-06-22-PIT-DET,2024-06-22,2024,9,UFA,thunderbirds,mechanix,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-06-29-CAR-PIT,2024-06-29,2024,10,UFA,flyers,thunderbirds,1.0,0.0,,,0.0,0.0,,,,,0.0,-12.0,127.0
2024-07-06-PIT-MAD,2024-07-06,2024,11,UFA,thunderbirds,radicals,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2024-07-14-IND-PIT,2024-07-14,2024,12,UFA,alleycats,thunderbirds,1.0,0.0,,,0.0,0.0,,,,,0.0,9.0,67.0
2024-07-20-PIT-PHI,2024-07-20,2024,13,UFA,thunderbirds,phoenix,1.0,0.0,,,0.0,0.0,,,,,0.0,8.0,22.0
