game_id,date,season,week,league,away,home,assisted_tackles,games_played,kick_returns,pass_defended,punt_returns,receiving_yards,rushing_yards,solo_tackles,tackles,total_yards,yards_per_game
FOOTBALL_NAL_2021_columbus-lions_SEASON_TOTAL,2021-12-31,,0,,,COLUMBUS LIONS,,9.0,3.4,,31.0,12.0,19.0,,,8.0,31.0
FOOTBALL_IFL_2026_8_1_T3TULSAOILERSG20260801Q8QK@T2JACKSONVILLESHARKS,2026-08-01,2026,,IFL,#3 Tulsa Oilers,#2 Jacksonville Sharks,0.0,,,1.0,,,,0.0,0.0,,
