game_id,date,season,week,league,away,home,conversions,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
1,2024-03-30,2024,1,UFL,RENEGADES,STALLIONS,,0.0,9.0,1.0,,
6,2024-04-06,2024,2,UFL,BATTLEHAWKS,RENEGADES,,0.0,18.0,2.0,,
9,2024-04-13,2024,3,UFL,RENEGADES,DEFENDERS,,0.0,7.0,1.0,,
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,0.0,1.0,1.0,,
17,2024-04-27,2024,5,UFL,RENEGADES,BRAHMAS,,,,,0.0,3.0
23,2024-05-05,2024,6,UFL,PANTHERS,RENEGADES,,0.0,13.0,3.0,,
25,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,1.0,,,,,
33,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,1.0,1.0,38.0,3.0,,
44,2025-03-29,2025,1,UFL,RENEGADES,BRAHMAS,,0.0,13.0,2.0,,
49,2025-04-06,2025,2,UFL,RENEGADES,ROUGHNECKS,,0.0,12.0,1.0,,
56,2025-04-19,2025,4,UFL,RENEGADES,BATTLEHAWKS,,0.0,24.0,1.0,0.0,1.0
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,,0.0,22.0,2.0,0.0,1.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,0.0,43.0,2.0,,
73,2025-05-24,2025,9,UFL,SHOWBOATS,RENEGADES,,1.0,2.0,2.0,,
77,2025-06-01,2025,10,UFL,BRAHMAS,RENEGADES,,0.0,34.0,3.0,,
89,2026-03-28,2026,1,UFL,HOUSTON GAMBLERS,DALLAS RENEGADES,,0.0,-1.0,1.0,,
94,2026-04-07,2026,2,UFL,ST. LOUIS BATTLEHAWKS,DALLAS RENEGADES,1.0,,,,,
100,2026-04-17,2026,4,UFL,DALLAS RENEGADES,COLUMBUS AVIATORS,,0.0,0.0,0.0,,
106,2026-04-26,2026,5,UFL,LOUISVILLE KINGS,DALLAS RENEGADES,,0.0,29.0,3.0,,
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,0.0,2.0,1.0,,
113,2026-05-09,2026,7,UFL,DALLAS RENEGADES,BIRMINGHAM STALLIONS,,0.0,12.0,2.0,,
115,2026-05-15,2026,8,UFL,ORLANDO STORM,DALLAS RENEGADES,,1.0,55.0,2.0,,
121,2026-05-24,2026,9,UFL,DALLAS RENEGADES,LOUISVILLE KINGS,,0.0,20.0,2.0,,
