game_id,date,season,week,league,away,home,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
SYNTHETIC_AUDL_W1_THUNDERBIRDS,,,1,AUDL,,,3.0,1.0,,,0.0,0.0,,,,,0.0,178.0,133.0
SYNTHETIC_AUDL_W2_THUNDERBIRDS,,,2,AUDL,,,1.0,0.0,,,0.0,0.0,,,,,1.0,53.0,5.0
SYNTHETIC_AUDL_W3_THUNDERBIRDS,,,3,AUDL,,,0.0,2.0,,,0.0,1.0,,,,,1.0,85.0,89.0
2022-06-18-DET-PIT,2022-06-18,2022,4,,DET,PIT,1.0,1.0,,,2.0,3.0,,,,,1.0,177.0,97.0
2022-07-02-PIT-IND,2022-07-02,2022,6,,PIT,IND,2.0,1.0,,,0.0,7.0,,,,,1.0,336.0,121.0
2022-07-09-DET-PIT,2022-07-09,2022,7,,DET,PIT,1.0,0.0,,,1.0,1.0,,,,,3.0,168.0,49.0
2022-07-16-CAR-PIT,2022-07-16,2022,8,,CAR,PIT,1.0,0.0,,,0.0,3.0,,,,,2.0,257.0,135.0
2022-07-23-CHI-PIT,2022-07-23,2022,9,,CHI,PIT,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0
2023-04-29-MAD-PIT,2023-04-29,2023,1,,MAD,PIT,,,28.0,24.0,1.0,3.0,2.0,,,25.0,1.0,354.0,47.0
2023-05-13-PIT-DET,2023-05-13,2023,3,,PIT,DET,,,20.0,14.0,,3.0,3.0,,1.0,16.0,1.0,290.0,6.0
2023-05-20-PIT-MIN,2023-05-20,2023,4,,PIT,MIN,,,21.0,18.0,1.0,1.0,1.0,,,20.0,2.0,114.0,139.0
2023-05-27-PHI-PIT,2023-05-27,2023,5,,PHI,PIT,1.0,1.0,15.0,14.0,,1.0,,,,15.0,1.0,177.0,66.0
2023-06-04-PIT-MAD,2023-06-04,2023,6,,PIT,MAD,1.0,,16.0,15.0,2.0,1.0,1.0,1.0,,15.0,,250.0,98.0
2023-06-11-DET-PIT,2023-06-11,2023,7,,DET,PIT,4.0,,15.0,13.0,1.0,1.0,,1.0,,14.0,1.0,314.0,131.0
2023-06-17-PIT-TOR,2023-06-17,2023,8,,PIT,TOR,,2.0,14.0,11.0,1.0,2.0,1.0,,,12.0,1.0,312.0,86.0
2023-07-07-CHI-PIT,2023-07-07,2023,11,,CHI,PIT,,0.0,20.0,17.0,,1.0,2.0,,,19.0,,107.0,60.0
