game_id,date,season,week,league,away,home,assist_tackles,completions,int_avg,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,pass_attempts,passing_tds,passing_yards,rush_attempts,rushing_tds,rushing_yards,solo_tackles
FOOTBALL_AAF_2019_3_24_BIR@MEM,2019-03-24,2019,7,AAF,BIR,MEM,,3.0,,,,,0.0,,5.0,0.0,48.0,2.0,0.0,20.0,
FOOTBALL_AAF_2019_3_30_ORL@MEM,2019-03-30,2019,8,AAF,ORL,MEM,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,13.0,3.0,0.0,18.0,0.0
