game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,10.0,,,,,54.0,7.0,770.0,,
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,8.0,,,,,16.0,1.0,186.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,8.0,,,,,7.0,2.0,120.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,5.0,4.0,1.0,25.0,25.0,3.0,292.0,4.0,18.0
